"pathway_name","n_NC","n_PD","mean_NC","mean_PD","median_NC","median_PD","delta_mean_PD_minus_NC","bootstrap_95CI_low","bootstrap_95CI_high","exact_p_two_sided","exact_p_one_sided_PD_higher","n_exact_permutations","BH_q_two_sided","BH_q_one_sided_PD_higher"
"COLLAGEN",9,6,5.824560031722,9.23287729517112,5.32055660527323,9.33150357007321,3.40831726344912,0.816171205629937,5.80681452909921,0.0285714285714286,0.0147852147852148,5005,0.0380952380952381,0.0197136197136197
"FN1",9,6,0.987793655392567,2.90453740402911,0.515747760522013,3.23399850659728,1.91674374863654,1.0860194034455,2.66046089623267,0.0023976023976024,0.0013986013986014,5005,0.0047952047952048,0.0027972027972028
"LAMININ",9,6,0.815798217571892,1.73772522229356,0.354471070443478,2.03000848017096,0.921927004721667,0.0923847979447736,1.6525997100842,0.0713286713286713,0.0375624375624376,5005,0.0713286713286713,0.0375624375624376
"PERIOSTIN",9,6,0,0.71077133385112,0,0.717376047493882,0.71077133385112,0.616520643380987,0.800419911094887,0.0001998001998002,0.0001998001998002,5005,0.000799200799200799,0.000799200799200799
