"Gene","Expression","Points","y"
"AGT",4.6200768879559,0,4
"AGT",5.51971457428191,20.5592828248576,4
"AGT",6.41935226060793,41.1185656497151,4
"CXCR4",5.34949627394184,0,3
"CXCR4",7.94695033660452,50,3
"CXCR4",10.5444043992672,100,3
"FOS",6.15902769529581,0,2
"FOS",9.02294476284196,13.3198300650769,2
"FOS",11.8868618303881,26.6396601301538,2
