"model","cohort","AUC","CI_low","CI_high","Cohort"
"Three_gene","Training",0.907928388746803,0.852656939406786,0.956524511978704,"Training"
"Three_gene","Internal_test",0.892424242424242,0.787297619047619,0.970962033838768,"Internal test"
"Three_gene","GSE16134",0.922544951590595,0.879763503541913,0.9595588292216,"GSE16134"
