"","MEblue","MEbrown","MEgreen","MEgrey","MEred","MEturquoise","MEyellow"
"CXCR4",0.872812702448804,0.115216743788943,0.217773410170118,0.00738110854483509,0.600550899973779,-0.709127969724461,-0.148133787349568
"FOS",0.392586074978002,-0.10398252737624,0.220571866516551,0.161307035352388,0.414794253391018,-0.41739598281049,0.184797315333093
