"Term","Coefficient","Odds_ratio"
"(Intercept)",-28.1615557900581,5.88290341947672e-13
"AGT",2.02555945620692,7.58035063277845
"CXCR4",1.70618768640773,5.50792346985327
"FOS",0.412233157693864,1.51018650688642
