"variable","dropout_loss","Rank","Model"
"FOS",0.194170771756979,4,"KNN"
"CD36",0.189983579638752,5,"KNN"
"XDH",0.189244663382594,6,"KNN"
"CHUK",0.188505747126437,7,"KNN"
"ADRB2",0.185385878489327,8,"KNN"
"IL1B",0.183087027914614,9,"KNN"
"BRCA1",0.182840722495895,10,"KNN"
"NR3C1",0.181937602627258,11,"KNN"
"NOTCH2",0.18128078817734,12,"KNN"
"DNMT3B",0.181034482758621,13,"KNN"
"CYP27A1",0.180377668308703,14,"KNN"
"PTGS1",0.180295566502463,15,"KNN"
"AGT",0.179967159277504,16,"KNN"
"SLC6A4",0.178981937602627,17,"KNN"
"CCR7",0.178817733990148,18,"KNN"
"PTGS2",0.178817733990148,19,"KNN"
"ESR2",0.178571428571429,20,"KNN"
"NRP1",0.178489326765189,21,"KNN"
"CYP3A4",0.178489326765189,22,"KNN"
"DNMT3A",0.17824302134647,23,"KNN"
"ESR1",0.177668308702791,24,"KNN"
"IL6",0.177586206896552,25,"KNN"
"INS",0.177257799671593,26,"KNN"
"GSR",0.177093596059113,27,"KNN"
"APOE",0.177093596059113,28,"KNN"
"TGFB1",0.176026272577997,29,"KNN"
"SOX9",0.175944170771757,30,"KNN"
"FURIN",0.175779967159277,31,"KNN"
"AKT1",0.175533661740558,32,"KNN"
"HMGCR",0.175369458128079,33,"KNN"
"GHRL",0.175369458128079,34,"KNN"
"CSF2",0.175205254515599,35,"KNN"
"NQO1",0.174302134646962,36,"KNN"
"CD40",0.173973727422003,37,"KNN"
"BCHE",0.172906403940887,38,"KNN"
"NOS1",0.171592775041051,39,"KNN"
"IGF1",0.167651888341543,40,"KNN"
"ARRB2",0.164532019704433,41,"KNN"
"IL1B",0.194417077175698,1,"GBM"
"CXCR4",0.191789819376026,2,"GBM"
"CYP27A1",0.191461412151067,3,"GBM"
"DNMT3B",0.189162561576355,4,"GBM"
"XDH",0.186371100164204,5,"GBM"
"SOX9",0.185550082101806,6,"GBM"
"HMGCR",0.185221674876847,7,"GBM"
"FOS",0.185057471264368,8,"GBM"
"CD40",0.184729064039409,9,"GBM"
"DNMT3A",0.183087027914614,10,"GBM"
"CHUK",0.182594417077176,11,"GBM"
"CD36",0.182101806239737,12,"GBM"
"PTGS2",0.181444991789819,13,"GBM"
"NQO1",0.18128078817734,14,"GBM"
"BCHE",0.180623973727422,15,"GBM"
"SLC6A4",0.180623973727422,16,"GBM"
"ADRB2",0.180623973727422,17,"GBM"
"AKT1",0.180623973727422,18,"GBM"
"CCR7",0.180623973727422,19,"GBM"
"TGFB1",0.180623973727422,20,"GBM"
"APOE",0.180623973727422,21,"GBM"
"NOTCH2",0.180623973727422,22,"GBM"
"CSF2",0.180623973727422,23,"GBM"
"BRCA1",0.180131362889984,24,"GBM"
"EPHX2",0.178817733990148,25,"GBM"
"IL6",0.178653530377668,26,"GBM"
"AGT",0.178489326765189,27,"GBM"
"NR3C1",0.178489326765189,28,"GBM"
"GHRL",0.17799671592775,29,"GBM"
"IGF1",0.17799671592775,30,"GBM"
"FURIN",0.17799671592775,31,"GBM"
"NRP1",0.17799671592775,32,"GBM"
"INS",0.177339901477833,33,"GBM"
"ARRB2",0.177339901477833,34,"GBM"
"PTGS1",0.177011494252874,35,"GBM"
"ESR1",0.176847290640394,36,"GBM"
"C3",0.176026272577997,37,"GBM"
"ESR2",0.175697865353038,38,"GBM"
"NOS1",0.174548440065681,39,"GBM"
"CYP3A4",0.174055829228243,40,"GBM"
"GSR",0.169786535303777,41,"GBM"
"CXCR4",0.261904761904762,1,"NNET"
"FOS",0.175862068965517,2,"NNET"
"PTGS2",0.163546798029557,3,"NNET"
"HMGCR",0.153530377668309,4,"NNET"
"PTGS1",0.153366174055829,5,"NNET"
"NQO1",0.152873563218391,6,"NNET"
"BCHE",0.152545155993432,7,"NNET"
"CYP3A4",0.152216748768473,8,"NNET"
"SLC6A4",0.152052545155993,9,"NNET"
"IL1B",0.151559934318555,10,"NNET"
"CCR7",0.151067323481117,11,"NNET"
"INS",0.151067323481117,12,"NNET"
"CSF2",0.14991789819376,13,"NNET"
"NOS1",0.149425287356322,14,"NNET"
"DNMT3B",0.148111658456486,15,"NNET"
"SOX9",0.147947454844007,16,"NNET"
"AGT",0.147126436781609,17,"NNET"
"ESR2",0.147126436781609,18,"NNET"
"NRP1",0.147126436781609,19,"NNET"
"TGFB1",0.14696223316913,20,"NNET"
"ARRB2",0.146305418719212,21,"NNET"
"IGF1",0.146305418719212,22,"NNET"
"ESR1",0.146141215106732,23,"NNET"
"XDH",0.145812807881773,24,"NNET"
"NOTCH2",0.145648604269294,25,"NNET"
"APOE",0.145320197044335,26,"NNET"
"CYP27A1",0.145320197044335,27,"NNET"
"GSR",0.145155993431855,28,"NNET"
"DNMT3A",0.144991789819376,29,"NNET"
"CD36",0.144663382594417,30,"NNET"
"FURIN",0.144334975369458,31,"NNET"
"EPHX2",0.144170771756979,32,"NNET"
"ADRB2",0.14384236453202,33,"NNET"
"GHRL",0.143349753694581,34,"NNET"
"CHUK",0.143021346469622,35,"NNET"
"CD40",0.142857142857143,36,"NNET"
"IL6",0.141543513957307,37,"NNET"
"AKT1",0.141215106732348,38,"NNET"
"BRCA1",0.141050903119869,39,"NNET"
"C3",0.136288998357964,40,"NNET"
"NR3C1",0.131034482758621,41,"NNET"
"CXCR4",0.163054187192118,1,"LASSO"
"C3",0.143185550082102,2,"LASSO"
"CD40",0.141871921182266,3,"LASSO"
"FOS",0.139737274220033,4,"LASSO"
"AGT",0.136617405582923,5,"LASSO"
"IL1B",0.132019704433497,6,"LASSO"
"EPHX2",0.132019704433497,7,"LASSO"
"CD36",0.130870279146141,8,"LASSO"
"XDH",0.130541871921182,9,"LASSO"
"BCHE",0.129720853858785,10,"LASSO"
"PTGS2",0.129720853858785,11,"LASSO"
"IL6",0.129720853858785,12,"LASSO"
"SLC6A4",0.129720853858785,13,"LASSO"
"GSR",0.129720853858785,14,"LASSO"
"NQO1",0.129720853858785,15,"LASSO"
"AKT1",0.129720853858785,16,"LASSO"
"NR3C1",0.129720853858785,17,"LASSO"
"CCR7",0.129720853858785,18,"LASSO"
"GHRL",0.129720853858785,19,"LASSO"
"ARRB2",0.129720853858785,20,"LASSO"
"TGFB1",0.129720853858785,21,"LASSO"
"APOE",0.129720853858785,22,"LASSO"
"ESR2",0.129720853858785,23,"LASSO"
"NOS1",0.129720853858785,24,"LASSO"
"IGF1",0.129720853858785,25,"LASSO"
"FURIN",0.129720853858785,26,"LASSO"
"NOTCH2",0.129720853858785,27,"LASSO"
"DNMT3A",0.129720853858785,28,"LASSO"
"NRP1",0.129720853858785,29,"LASSO"
"CSF2",0.129720853858785,30,"LASSO"
