"target","sample","view","value"
"Activated_Fib","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",0.0005174437832021
"Activated_Fib","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.19243041002362
"Activated_Fib","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",0.307963008667607
"Activated_Fib","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",0.442241614432182
"Activated_Fib","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"Activated_Fib","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",0.0717230843524992
"Activated_Fib","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",0.00884105816387404
"Activated_Fib","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",8.34134180778268e-05
"Adventitial_Fib","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",6.7449291698737e-05
"Adventitial_Fib","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.578291477370377
"Adventitial_Fib","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",0.128115610740287
"Adventitial_Fib","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",0.209614717157037
"Adventitial_Fib","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"Adventitial_Fib","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",8.15164781675648e-07
"Adventitial_Fib","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",0.346212816857063
"Adventitial_Fib","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",0.083694656937229
"B.cells","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",-0.0022547033727409
"B.cells","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.711121160095138
"B.cells","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",-0.137201549680729
"B.cells","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",0.482332221054405
"B.cells","G:/1a空转rperio/GSM6258258/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
