"view","Predictor","Target","Importance","nsamples"
"intra","Activated_Fib","Activated_Fib",NA,1
"intra","Activated_Fib","Adventitial_Fib",-0.076612702583351,1
"intra","Activated_Fib","B.cells",0.253890565228376,1
"intra","Activated_Fib","Cycling.cells",1.35436568510824,1
"intra","Activated_Fib","ECM_Fib",-0.0616813548005936,1
"intra","Activated_Fib","Endothelial.cells",0.0653485568592168,1
"intra","Activated_Fib","Epithelial.cells",1.3070366539237,1
"intra","Activated_Fib","Inflammatory_Fib",0.744432534910344,1
"intra","Activated_Fib","Macrophages",0.976520994525385,1
"intra","Activated_Fib","Mast.cells",-1.02690131513616,1
"intra","Activated_Fib","Neutrophils",-0.506676367148418,1
"intra","Activated_Fib","PI16_Fib",0.918571411195601,1
"intra","Activated_Fib","Pericytes",0.130414455005614,1
"intra","Activated_Fib","Plasma.cells",-0.30621740678176,1
"intra","Activated_Fib","T.cells",0.420096344112951,1
"intra","Activated_Fib","pDCs",-0.404260394414263,1
"intra","Adventitial_Fib","Activated_Fib",-0.929939014646575,1
"intra","Adventitial_Fib","Adventitial_Fib",NA,1
"intra","Adventitial_Fib","B.cells",-0.390804825598038,1
"intra","Adventitial_Fib","Cycling.cells",-0.111555200028925,1
"intra","Adventitial_Fib","ECM_Fib",0.182359323541839,1
"intra","Adventitial_Fib","Endothelial.cells",0.166161306504984,1
"intra","Adventitial_Fib","Epithelial.cells",0.181583359003808,1
"intra","Adventitial_Fib","Inflammatory_Fib",0.258341481128317,1
"intra","Adventitial_Fib","Macrophages",-0.208476080679149,1
"intra","Adventitial_Fib","Mast.cells",-1.22769709291394,1
"intra","Adventitial_Fib","Neutrophils",-0.110879997234261,1
"intra","Adventitial_Fib","PI16_Fib",-1.69942304026226,1
"intra","Adventitial_Fib","Pericytes",-0.543052126186643,1
"intra","Adventitial_Fib","Plasma.cells",0.425034333970313,1
"intra","Adventitial_Fib","T.cells",0.187897732437317,1
"intra","Adventitial_Fib","pDCs",-2.08096931545573,1
