"sample","group","n_spots","pearson_r","pearson_p_spot_naive","spearman_rho","spearman_p_spot_naive"
"GSM6258255","NC",1088,0.0550179897096354,0.0696703549013078,0.357863635543705,3.23615699408922e-34
"GSM6258256","PD",415,0.257241480517201,1.07071151270904e-07,0.394234295039691,6.97729017737695e-17
"GSM6258257","PD",160,0.682097244470158,3.07962366066145e-23,0.50909117543654,6.24129155785995e-12
"GSM6258258","PD",501,0.107556463501059,0.0160219053102101,0.244288665696495,3.05263446841441e-08
