"reduction","celltype","n_balanced","expected_cross","cross_dataset_30nn","cross_to_expected_ratio","iLISI","dataset_silhouette"
"PCA_before","B cells",1383,0.661895373476817,0.296240057845264,0.44756327014218,1.55714757210961,0.0715300254919803
"PCA_before","Cycling cells",604,0.294965133108197,0.1689293598234,0.572709587886898,1.30604418960537,-0.094858656769254
"PCA_before","Endothelial cells",1500,0.666666666666667,0.326155555555556,0.489233333333333,1.69050520099734,-0.0260819838118527
"PCA_before","Epithelial cells",1500,0.666666666666667,0.3434,0.5151,1.75351388737763,0.0203393426308958
"PCA_before","Fibroblasts",1448,0.665806904551143,0.27640423572744,0.415141738299905,1.5443707318115,0.0653399297562288
"PCA_before","Macrophages",1500,0.666666666666667,0.271,0.4065,1.48499597865479,0.0295568402221706
"PCA_before","Mast cells",1089,0.577809145803135,0.186164677073768,0.322190602945555,1.38216928265336,0.0314632860434314
"PCA_before","Neutrophils",1500,0.666666666666667,0.262711111111111,0.394066666666667,1.4773829987247,0.0957354596898183
"PCA_before","Pericytes",1500,0.666666666666667,0.225266666666667,0.3379,1.43408365746446,0.115911595421852
"PCA_before","Plasma cells",1500,0.666666666666667,0.208555555555556,0.312833333333333,1.37647447145847,0.113425499569756
"PCA_before","pDCs",1093,0.574227241641687,0.316102470265325,0.550483236151603,1.7284181183229,-0.0170147357751547
"Harmony_existing","B cells",1383,0.661895373476817,0.492624728850325,0.744263744075829,2.11324867661045,-0.0110087297456774
"Harmony_existing","Cycling cells",604,0.294965133108197,0.264348785871965,0.896203504076525,1.44452082236801,-0.167782150782525
"Harmony_existing","Endothelial cells",1500,0.666666666666667,0.5698,0.8547,2.46001381441768,-0.059100368674674
"Harmony_existing","Epithelial cells",1500,0.666666666666667,0.609977777777778,0.914966666666666,2.59151117784532,-0.0181209631902545
"Harmony_existing","Fibroblasts",1448,0.665806904551143,0.535036832412523,0.803591595033429,2.2828830457844,-0.017124574744726
"Harmony_existing","Macrophages",1500,0.666666666666667,0.543844444444444,0.815766666666667,2.11355366375112,-0.0415087713827343
"Harmony_existing","Mast cells",1089,0.577809145803135,0.457086011631466,0.791067457051293,2.02602502276804,-0.036316726064281
"Harmony_existing","Neutrophils",1500,0.666666666666667,0.584733333333333,0.8771,2.50706976467614,-0.0208540112248421
"Harmony_existing","Pericytes",1500,0.666666666666667,0.432088888888889,0.648133333333333,1.84493480576045,0.0245617760949561
"Harmony_existing","Plasma cells",1500,0.666666666666667,0.431577777777778,0.647366666666667,1.93907306994684,0.00246656651791822
"Harmony_existing","pDCs",1093,0.574227241641687,0.443580359865813,0.772482264334305,1.97035127350543,-0.0424295455075518
"Harmony_explicit","B cells",1383,0.661895373476817,0.525259098577971,0.793568167456556,2.24987722534085,-0.0227698965720641
"Harmony_explicit","Cycling cells",604,0.294965133108197,0.211920529801325,0.718459594082224,1.38561307809061,-0.164259513843302
"Harmony_explicit","Endothelial cells",1500,0.666666666666667,0.550088888888889,0.825133333333333,2.41170348726274,-0.0467991998561746
"Harmony_explicit","Epithelial cells",1500,0.666666666666667,0.557977777777778,0.836966666666667,2.39329207353401,-0.011094650855874
"Harmony_explicit","Fibroblasts",1448,0.665806904551143,0.549907918968692,0.825927029608405,2.37615529161154,-0.0195839504822779
"Harmony_explicit","Macrophages",1500,0.666666666666667,0.540844444444444,0.811266666666667,2.11566262664701,-0.0461185828679306
"Harmony_explicit","Mast cells",1089,0.577809145803135,0.498714416896235,0.863112708614258,2.14660616376254,-0.0444805448873115
"Harmony_explicit","Neutrophils",1500,0.666666666666667,0.606466666666667,0.9097,2.59037086067053,-0.0251245790297968
"Harmony_explicit","Pericytes",1500,0.666666666666667,0.404466666666667,0.6067,1.84307028776611,0.00558982379161518
"Harmony_explicit","Plasma cells",1500,0.666666666666667,0.533466666666667,0.8002,2.29193355169823,-0.0282997320305024
"Harmony_explicit","pDCs",1093,0.574227241641687,0.4225373589509,0.735836491739553,1.95127104435429,-0.0554286692252695
