"dimension","pearson_correlation","root_mean_squared_difference"
1,0.999127585071994,0.897166099806911
2,0.999035353111037,0.656516149189121
3,0.99724508893448,0.687074124372154
4,0.997626160117885,0.589053766130383
5,0.999039823191172,0.436446741327223
6,0.966808501892098,1.17509435134216
7,0.985861029226102,0.747366676939363
8,0.966080493272653,1.0818811122313
9,0.985850842516119,0.708144889165236
10,0.976114288497466,0.857259632570857
11,0.966431399588089,1.31320046893816
12,0.974415864096526,0.944600609499042
13,0.972405557939656,1.016268100154
14,0.988281756416732,0.566774851897035
15,0.974344188750035,0.646069475916199
