"","0","1","10","11","12","13","14","15","16","2","3","4","5","6","7","8","9"
"0",24444,2,1,0,15,0,0,0,0,0,2,25,20,0,5,0,0
"1",2,19309,0,36,0,0,1,0,0,0,0,31,0,0,0,618,1
"10",18,0,2029,0,2,0,0,0,49,0,7,0,49,0,3,0,0
"11",0,9,0,1694,2,0,3,0,0,10,0,4,0,0,0,6,0
"12",7,113,0,4,1301,0,0,0,0,0,0,0,0,0,31,0,0
"14",0,0,0,0,0,791,0,0,0,0,0,0,5,0,16,0,0
"15",0,3,0,16,0,0,456,0,0,0,0,0,0,0,0,3,0
"16",0,0,0,0,0,0,0,138,0,1,0,0,0,0,0,0,0
"17",0,54,0,0,0,0,0,0,0,0,1,0,0,0,0,81,0
"2",31,0,1,4,1,0,0,2,0,18512,0,1,4,3,1,17,3
"3",18,0,1,0,1,0,0,0,0,0,13856,0,0,0,3,14,0
"4",0,6,1286,0,227,15,0,0,0,7,1,0,6555,2,7,5,0
"5",4,6,0,0,3,0,0,0,0,14,0,6778,13,1,1,0,3
"6",1,0,0,0,2,0,6,0,0,19,0,0,0,5720,0,16,0
"7",5,0,0,0,1,14,0,0,0,0,4,5,2,0,4844,0,0
"8",0,1383,0,0,0,0,0,0,0,0,0,0,0,0,0,3262,0
"9",1,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,3934
