"sample","dataset","group","state_final","n_cells","C3_avg","C3_pct","AGT_avg","AGT_pct"
"GSM4600897","GSE152042","NC","Activated_Fib",4,1.06445573375283,50,0,0
"GSM4600897","GSE152042","NC","Adventitial_Fib",4,1.19297570308493,50,0,0
"GSM4600897","GSE152042","NC","ECM_Fib",9,0.694554847802752,33.3333333333333,0,0
"GSM4600898","GSE152042","PD","Activated_Fib",2,0,0,0,0
"GSM4600898","GSE152042","PD","ECM_Fib",2,0,0,0,0
"GSM4600899","GSE152042","PD","ECM_Fib",3,0.535096948440488,33.3333333333333,0,0
"GSM5005048","GSE164241","NC","Activated_Fib",17,0.392721346237749,23.5294117647059,0,0
"GSM5005048","GSE164241","NC","Adventitial_Fib",18,0.685486515035823,33.3333333333333,0,0
"GSM5005048","GSE164241","NC","ECM_Fib",31,0.493223062671988,32.258064516129,0,0
"GSM5005048","GSE164241","NC","Inflammatory_Fib",26,0.443699305560422,34.6153846153846,0.0330162292766934,3.84615384615385
"GSM5005049","GSE164241","NC","Activated_Fib",19,0.368324187714487,26.3157894736842,0,0
"GSM5005049","GSE164241","NC","Adventitial_Fib",25,1.01672127915946,56,0,0
"GSM5005049","GSE164241","NC","ECM_Fib",103,0.211395548951642,14.5631067961165,0,0
"GSM5005049","GSE164241","NC","Inflammatory_Fib",135,0.529223912540077,44.4444444444444,0.0293817492433052,2.96296296296296
"GSM5005050","GSE164241","NC","Activated_Fib",19,0,0,0,0
"GSM5005050","GSE164241","NC","Adventitial_Fib",37,0.818085518579696,43.2432432432432,0,0
"GSM5005050","GSE164241","NC","ECM_Fib",52,0.0184895900190969,1.92307692307692,0,0
"GSM5005050","GSE164241","NC","Inflammatory_Fib",101,0.535419726744501,49.5049504950495,0,0
"GSM5005051","GSE164241","NC","Activated_Fib",47,0.147003925398587,8.51063829787234,0,0
"GSM5005051","GSE164241","NC","Adventitial_Fib",27,1.04272646395366,59.2592592592593,0.111335702614017,7.40740740740741
"GSM5005051","GSE164241","NC","ECM_Fib",213,0.338664618534838,21.5962441314554,0.0094794269676687,0.469483568075117
"GSM5005051","GSE164241","NC","Inflammatory_Fib",123,0.313258164709005,26.0162601626016,0,0
"GSM5005052","GSE164241","NC","Activated_Fib",302,0.38296339383357,23.5099337748344,0,0
"GSM5005052","GSE164241","NC","Adventitial_Fib",15,0.383892316127168,13.3333333333333,0,0
"GSM5005052","GSE164241","NC","ECM_Fib",130,0.169018393424029,9.23076923076923,0.011050377872871,0.769230769230769
"GSM5005052","GSE164241","NC","Inflammatory_Fib",2363,0.436712843061818,28.5653829877275,0.00375817116389627,0.253914515446466
"GSM5005052","GSE164241","NC","PI16_Fib",1,0,0,0,0
"GSM5005053","GSE164241","NC","Activated_Fib",80,0.204951613948958,10,0.0204110514791694,1.25
"GSM5005053","GSE164241","NC","Adventitial_Fib",43,0.778082213402135,37.2093023255814,0,0
"GSM5005053","GSE164241","NC","ECM_Fib",608,0.359149852977303,19.9013157894737,0,0
"GSM5005053","GSE164241","NC","Inflammatory_Fib",24,0.467845500127774,25,0,0
"GSM5005053","GSE164241","NC","PI16_Fib",5,1.10706048580636,60,0,0
"GSM5005054","GSE164241","NC","Adventitial_Fib",1,0,0,0,0
"GSM5005054","GSE164241","NC","ECM_Fib",4,0,0,0,0
"GSM5005054","GSE164241","NC","PI16_Fib",352,0.962990251783502,51.1363636363636,0.00868223913392887,0.568181818181818
"GSM5005055","GSE164241","NC","Activated_Fib",187,0.340020135164509,21.3903743315508,0.0343074768627999,2.13903743315508
"GSM5005055","GSE164241","NC","Adventitial_Fib",224,0.754095486537002,36.1607142857143,0.00779191759718861,0.446428571428571
"GSM5005055","GSE164241","NC","ECM_Fib",267,0.428563423345592,24.3445692883895,0,0
"GSM5005055","GSE164241","NC","Inflammatory_Fib",831,0.604145110247735,41.0348977135981,0.00894193586985457,0.72202166064982
"GSM5005055","GSE164241","NC","PI16_Fib",2,0.944537399259269,50,0,0
"GSM5005056","GSE164241","NC","Activated_Fib",18,1.01345493827284,44.4444444444444,0,0
"GSM5005056","GSE164241","NC","Adventitial_Fib",37,1.23721330693208,51.3513513513513,0,0
"GSM5005056","GSE164241","NC","ECM_Fib",132,0.833219029084599,37.8787878787879,0,0
"GSM5005056","GSE164241","NC","Inflammatory_Fib",4,0,0,0,0
"GSM5005056","GSE164241","NC","PI16_Fib",394,0.8618350619597,34.7715736040609,0,0
"GSM5005057","GSE164241","NC","Activated_Fib",525,0.0659631841054504,3.42857142857143,0,0
"GSM5005057","GSE164241","NC","Adventitial_Fib",348,0.520026726153767,22.7011494252874,0,0
"GSM5005057","GSE164241","NC","ECM_Fib",135,0.131268377641706,7.40740740740741,0.0135543383528935,0.740740740740741
"GSM5005057","GSE164241","NC","Inflammatory_Fib",645,0.313313203808504,17.5193798449612,0.00841865558835212,0.465116279069767
