"group","state_final","C3_avg","C3_pct","AGT_avg","AGT_pct","n_samples"
"NC","Activated_Fib",0.402576165250151,25.6441584190196,0.00615688505128201,0.47247826562842,12
"NC","Adventitial_Fib",0.785531976020525,41.2863692510219,0.0135370311784844,1.06951901130823,12
"NC","ECM_Fib",0.453974439009249,24.2799305437765,0.00378352607150978,0.356916108209143,16
"NC","Inflammatory_Fib",0.455452220849979,33.3375875329709,0.0104395926427627,1.03127115803536,8
"NC","PI16_Fib",1.242813260778,57.5863716673021,0.00822081148498495,0.319821930646673,5
"PD","Activated_Fib",0.850278210137537,58.4226599059452,0.0145860088806979,1.36938432233583,8
"PD","Adventitial_Fib",1.29036838949928,64.2446983910398,0.06693975872794,4.46112153429227,3
"PD","ECM_Fib",0.606791582361514,37.6416544099533,0.0334029752281815,2.47510712896863,10
"PD","Inflammatory_Fib",0.466313388219251,27.7972027972028,0,0,2
"PD","PI16_Fib",1.98224246741339,83.0985915492958,0.0396476665635439,2.8169014084507,1
