Cohort,AUC,Brier,Calibration_intercept,Calibration_slope
Training,0.907928388746803,0.1105915766717131,-6.780182401612558e-14,1.0000000000000273
Internal test,0.8924242424242425,0.13351141284921242,0.22326896033616858,0.8139472304015787
GSE16134,0.9225449515905948,0.14436794093654878,1.9125609706057802,1.042843056509783
GSE223924,0.9,0.14357341158185427,-0.41858697430088543,1.0798999920888284
