"Cohort","AUC","Brier","Calibration_intercept","Calibration_slope"
"GSE16134",0.922544951590595,0.144367940936553,1.91256097060582,1.04284305599552
"GSE223924",0.9,0.143573411581854,-0.418586974302582,1.07989999208806
"Internal test",0.892424242424242,0.133511412849214,0.223268960336227,0.813947227923407
"Training",0.907928388746803,0.110591576671713,-4.49203372288648e-13,1
