"Gene","Training_mean","Training_SD","External_mean","External_SD","Standardized_coefficient"
"AGT",5.28676181067915,0.349411882162856,5.40365277160832,0.378224899372811,0.707754542026031
"CXCR4",8.06042310494071,1.21629732255495,8.27158875416605,1.15125433049441,2.07523151475395
"FOS",9.87315520023927,1.2990800122073,10.2691480121891,1.28727620755327,0.535523855529198
