Threshold,Cohort,Strategy,NetBenefit,id
0.52,Internal test,Treat none,0,132
0.53,Internal test,Treat none,0,133
0.54,Internal test,Treat none,0,134
0.55,Internal test,Treat none,0,135
0.56,Internal test,Treat none,0,136
0.57,Internal test,Treat none,0,137
0.58,Internal test,Treat none,0,138
0.59,Internal test,Treat none,0,139
0.6,Internal test,Treat none,0,140
0.61,Internal test,Treat none,0,141
0.62,Internal test,Treat none,0,142
0.63,Internal test,Treat none,0,143
0.64,Internal test,Treat none,0,144
0.65,Internal test,Treat none,0,145
0.66,Internal test,Treat none,0,146
0.67,Internal test,Treat none,0,147
0.68,Internal test,Treat none,0,148
0.69,Internal test,Treat none,0,149
0.7,Internal test,Treat none,0,150
0.71,Internal test,Treat none,0,151
0.72,Internal test,Treat none,0,152
0.73,Internal test,Treat none,0,153
0.74,Internal test,Treat none,0,154
0.75,Internal test,Treat none,0,155
0.76,Internal test,Treat none,0,156
0.77,Internal test,Treat none,0,157
0.78,Internal test,Treat none,0,158
0.79,Internal test,Treat none,0,159
0.8,Internal test,Treat none,0,160
0.01,GSE16134,Treat none,0,161
0.02,GSE16134,Treat none,0,162
0.03,GSE16134,Treat none,0,163
0.04,GSE16134,Treat none,0,164
0.05,GSE16134,Treat none,0,165
0.06,GSE16134,Treat none,0,166
0.07,GSE16134,Treat none,0,167
0.08,GSE16134,Treat none,0,168
0.09,GSE16134,Treat none,0,169
0.1,GSE16134,Treat none,0,170
0.11,GSE16134,Treat none,0,171
0.12,GSE16134,Treat none,0,172
0.13,GSE16134,Treat none,0,173
0.14,GSE16134,Treat none,0,174
0.15,GSE16134,Treat none,0,175
0.16,GSE16134,Treat none,0,176
0.17,GSE16134,Treat none,0,177
0.18,GSE16134,Treat none,0,178
0.19,GSE16134,Treat none,0,179
0.2,GSE16134,Treat none,0,180
0.21,GSE16134,Treat none,0,181
0.22,GSE16134,Treat none,0,182
0.23,GSE16134,Treat none,0,183
0.24,GSE16134,Treat none,0,184
0.25,GSE16134,Treat none,0,185
0.26,GSE16134,Treat none,0,186
0.27,GSE16134,Treat none,0,187
0.28,GSE16134,Treat none,0,188
0.29,GSE16134,Treat none,0,189
0.3,GSE16134,Treat none,0,190
0.31,GSE16134,Treat none,0,191
0.32,GSE16134,Treat none,0,192
0.33,GSE16134,Treat none,0,193
0.34,GSE16134,Treat none,0,194
0.35,GSE16134,Treat none,0,195
0.36,GSE16134,Treat none,0,196
0.37,GSE16134,Treat none,0,197
0.38,GSE16134,Treat none,0,198
0.39,GSE16134,Treat none,0,199
0.4,GSE16134,Treat none,0,200
0.41,GSE16134,Treat none,0,201
0.42,GSE16134,Treat none,0,202
0.43,GSE16134,Treat none,0,203
0.44,GSE16134,Treat none,0,204
0.45,GSE16134,Treat none,0,205
0.46,GSE16134,Treat none,0,206
0.47,GSE16134,Treat none,0,207
0.48,GSE16134,Treat none,0,208
0.49,GSE16134,Treat none,0,209
0.5,GSE16134,Treat none,0,210
0.51,GSE16134,Treat none,0,211
0.52,GSE16134,Treat none,0,212
0.53,GSE16134,Treat none,0,213
0.54,GSE16134,Treat none,0,214
0.55,GSE16134,Treat none,0,215
0.56,GSE16134,Treat none,0,216
0.57,GSE16134,Treat none,0,217
0.58,GSE16134,Treat none,0,218
0.59,GSE16134,Treat none,0,219
0.6,GSE16134,Treat none,0,220
0.61,GSE16134,Treat none,0,221
0.62,GSE16134,Treat none,0,222
0.63,GSE16134,Treat none,0,223
0.64,GSE16134,Treat none,0,224
0.65,GSE16134,Treat none,0,225
0.66,GSE16134,Treat none,0,226
0.67,GSE16134,Treat none,0,227
0.68,GSE16134,Treat none,0,228
0.69,GSE16134,Treat none,0,229
0.7,GSE16134,Treat none,0,230
0.71,GSE16134,Treat none,0,231
0.72,GSE16134,Treat none,0,232
0.73,GSE16134,Treat none,0,233
0.74,GSE16134,Treat none,0,234
0.75,GSE16134,Treat none,0,235
0.76,GSE16134,Treat none,0,236
0.77,GSE16134,Treat none,0,237
0.78,GSE16134,Treat none,0,238
0.79,GSE16134,Treat none,0,239
0.8,GSE16134,Treat none,0,240
