"replicate","fold","model","n","auc"
9,1,"Alt4_EPHX2",26,0.951515151515152
9,2,"Locked4_C3",26,0.890909090909091
9,2,"Three_gene",26,0.890909090909091
9,2,"Alt4_EPHX2",26,0.890909090909091
9,3,"Locked4_C3",24,0.971428571428571
9,3,"Three_gene",24,0.964285714285714
9,3,"Alt4_EPHX2",24,0.964285714285714
9,4,"Locked4_C3",23,0.876923076923077
9,4,"Three_gene",23,0.861538461538462
9,4,"Alt4_EPHX2",23,0.869230769230769
9,5,"Locked4_C3",21,0.833333333333333
9,5,"Three_gene",21,0.814814814814815
9,5,"Alt4_EPHX2",21,0.814814814814815
10,1,"Locked4_C3",26,0.890909090909091
10,1,"Three_gene",26,0.890909090909091
10,1,"Alt4_EPHX2",26,0.890909090909091
10,2,"Locked4_C3",26,0.836363636363636
10,2,"Three_gene",26,0.83030303030303
10,2,"Alt4_EPHX2",26,0.83030303030303
10,3,"Locked4_C3",24,0.942857142857143
10,3,"Three_gene",24,0.95
10,3,"Alt4_EPHX2",24,0.95
10,4,"Locked4_C3",23,0.915384615384615
10,4,"Three_gene",23,0.892307692307692
10,4,"Alt4_EPHX2",23,0.907692307692308
10,5,"Locked4_C3",21,0.898148148148148
10,5,"Three_gene",21,0.935185185185185
10,5,"Alt4_EPHX2",21,0.935185185185185
11,1,"Locked4_C3",26,0.903030303030303
11,1,"Three_gene",26,0.915151515151515
11,1,"Alt4_EPHX2",26,0.915151515151515
11,2,"Locked4_C3",26,0.921212121212121
11,2,"Three_gene",26,0.915151515151515
11,2,"Alt4_EPHX2",26,0.909090909090909
11,3,"Locked4_C3",24,0.95
11,3,"Three_gene",24,0.95
11,3,"Alt4_EPHX2",24,0.935714285714286
11,4,"Locked4_C3",23,0.807692307692308
11,4,"Three_gene",23,0.823076923076923
11,4,"Alt4_EPHX2",23,0.792307692307692
11,5,"Locked4_C3",21,0.916666666666667
11,5,"Three_gene",21,0.916666666666667
11,5,"Alt4_EPHX2",21,0.916666666666667
12,1,"Locked4_C3",26,0.739393939393939
12,1,"Three_gene",26,0.787878787878788
12,1,"Alt4_EPHX2",26,0.787878787878788
12,2,"Locked4_C3",26,0.890909090909091
12,2,"Three_gene",26,0.890909090909091
12,2,"Alt4_EPHX2",26,0.884848484848485
12,3,"Locked4_C3",24,0.871428571428571
12,3,"Three_gene",24,0.885714285714286
12,3,"Alt4_EPHX2",24,0.892857142857143
12,4,"Locked4_C3",23,0.823076923076923
12,4,"Three_gene",23,0.807692307692308
12,4,"Alt4_EPHX2",23,0.815384615384615
12,5,"Locked4_C3",21,0.990740740740741
12,5,"Three_gene",21,1
12,5,"Alt4_EPHX2",21,0.981481481481482
13,1,"Locked4_C3",26,0.945454545454545
13,1,"Three_gene",26,0.945454545454545
13,1,"Alt4_EPHX2",26,0.939393939393939
13,2,"Locked4_C3",26,0.939393939393939
13,2,"Three_gene",26,0.939393939393939
13,2,"Alt4_EPHX2",26,0.933333333333333
13,3,"Locked4_C3",24,0.957142857142857
13,3,"Three_gene",24,0.95
13,3,"Alt4_EPHX2",24,0.95
13,4,"Locked4_C3",23,0.946153846153846
13,4,"Three_gene",23,0.930769230769231
13,4,"Alt4_EPHX2",23,0.938461538461538
13,5,"Locked4_C3",21,0.75
13,5,"Three_gene",21,0.787037037037037
13,5,"Alt4_EPHX2",21,0.796296296296296
14,1,"Locked4_C3",26,0.957575757575758
14,1,"Three_gene",26,0.951515151515152
14,1,"Alt4_EPHX2",26,0.951515151515152
14,2,"Locked4_C3",26,0.939393939393939
14,2,"Three_gene",26,0.945454545454545
14,2,"Alt4_EPHX2",26,0.939393939393939
14,3,"Locked4_C3",24,0.835714285714286
14,3,"Three_gene",24,0.828571428571429
14,3,"Alt4_EPHX2",24,0.778571428571429
14,4,"Locked4_C3",23,0.846153846153846
14,4,"Three_gene",23,0.884615384615385
14,4,"Alt4_EPHX2",23,0.876923076923077
14,5,"Locked4_C3",21,0.972222222222222
14,5,"Three_gene",21,0.953703703703704
14,5,"Alt4_EPHX2",21,0.944444444444444
15,1,"Locked4_C3",26,0.975757575757576
15,1,"Three_gene",26,0.975757575757576
15,1,"Alt4_EPHX2",26,0.981818181818182
15,2,"Locked4_C3",26,0.860606060606061
