"sample","group","dataset","cohort","total_fibro","score_PI16_fibroblast","score_Activated_fibroblast","score_ECM_fibroblast","score_Adventitial_fibroblast","score_Myofibroblast","score_Inflammatory_fibroblast","score_Stress","score_Contamination","score_ECM_TGFB_remodeling","score_C3_CD44_activation"
"GSM4600897","NC","GSE152042","GSM460_cohort",17,0.0549707261534769,0.779605925402245,3.16260650555052,0.817089336880727,-0.140187481611422,0.0541349665461655,0.204444680639466,-0.115947019125639,1.27808258913648,0.972327520802487
"GSM4600898","PD","GSE152042","GSM460_cohort",4,0.208543490278018,1.22205894735033,3.30617941042232,0.571439147980538,0.614094385855877,0.371991739090895,0.214110014242114,0.192315439983115,1.46542997925427,0.989090105586606
"GSM4600899","PD","GSE152042","GSM460_cohort",3,-0.0184175067546753,0.874536980118622,3.74001932302876,0.806730649810347,-0.188780011439722,0.800708068780517,0.864109364218169,0.163858111314297,1.49936104778269,0.929307477062372
"GSM5005048","NC","GSE164241","GSM500_cohort",92,0.0683824383735861,0.308506369635314,2.58306320348401,0.669048868964313,0.0644064955143453,0.0914311154194399,0.823088106913176,-0.106229683828645,1.05284948294105,0.402507272671043
"GSM5005049","NC","GSE164241","GSM500_cohort",282,0.0952010472953205,0.512380077514339,3.07827350191969,0.478507134234328,-0.00640195299584287,0.0408151111321753,0.731518953159976,-0.122626019896287,1.20308126839269,0.659371364208214
"GSM5005050","NC","GSE164241","GSM500_cohort",209,-0.00853512041854312,0.826803958942565,3.20479651265363,0.658607654776959,-0.0497507693401942,-0.00241037356212892,0.975051496863553,-0.155547642515162,1.3830932551762,0.774360770283555
"GSM5005051","NC","GSE164241","GSM500_cohort",410,0.084714289885527,0.453176776907129,2.71699192078546,1.06260183338988,-0.0534529961578971,0.236311570050567,1.20326525482244,-0.126023650030498,1.07607880783449,0.552408509551987
"GSM5005052","NC","GSE164241","GSM500_cohort",2811,0.0486725343064027,0.697298167695581,3.01196783306427,0.124270500248261,-0.0673895456901723,0.824143692053619,1.3111467688158,-0.0782290161348049,1.26418519501128,0.762949836696674
"GSM5005053","NC","GSE164241","GSM500_cohort",760,0.0709460467713349,0.437838142861953,2.67913358455763,0.699441587564253,-0.00984901103307821,0.160870722759245,1.12116906501955,0.0760686658384479,1.03101410848373,0.473145220824909
"GSM5005054","NC","GSE164241","GSM500_cohort",357,0.906557924215811,-0.0959176874152475,1.21115165676686,1.28294182568131,-0.0760741789622278,-0.182455860173075,1.08454988364303,-0.172553866025688,0.309146807227163,0.173198230677727
"GSM5005055","NC","GSE164241","GSM500_cohort",1511,0.096489915338947,0.240368390239512,1.99414038584072,0.834622653665493,0.183603157783431,0.871283448341011,1.37401973295056,-0.0409337944754205,0.740351814089612,0.399062055504986
"GSM5005056","NC","GSE164241","GSM500_cohort",585,0.588139397193419,0.239588342431556,2.18185239843444,0.858676177334417,-0.149302305882351,0.176057295206266,0.93721014922505,0.0333446237390067,0.681916811511109,0.500438268203404
"GSM5005057","NC","GSE164241","GSM500_cohort",1653,0.0501138388338496,0.662074761460872,2.70974542169849,0.616615432468673,0.0990557585897066,0.200314019848128,0.856418199168801,0.0690766344933653,1.14270787335365,0.601105912699083
"GSM5005058","PD","GSE164241","GSM500_cohort",194,-0.0596135198447791,0.841061844572125,3.07792033835794,0.15487005319782,-0.0697836767632871,1.04180969916296,1.29277084910504,0.00758339481544252,1.26072585646192,0.984134341530186
"GSM5005059","PD","GSE164241","GSM500_cohort",427,-0.0667302692014988,0.875609605146535,3.04648560219828,-0.158131964930074,-0.14831523884676,0.293124037631445,1.96252357848228,-0.174252722726677,1.34572271117227,0.93213612068694
"GSM5005060","PD","GSE164241","GSM500_cohort",90,-0.0752039700445131,0.506084898304936,2.51607588430518,0.314100396371176,-0.0605686458523477,0.247865282672746,1.63651928185118,-0.131871513998781,0.99242982935737,0.727628737497615
"GSM5005061","PD","GSE164241","GSM500_cohort",1087,-0.0762228435132767,0.862162141909366,2.87383598765557,0.146815341635389,-0.137998473709827,0.617614013758258,2.05735125955637,-0.034629267398666,1.27293200996881,1.06427969611855
"GSM5005062","PD","GSE164241","GSM500_cohort",669,-0.138392126308835,0.750805019738354,2.80078625913136,0.635646498210172,0.0430492087490426,0.657910970006543,1.64751301667528,0.0881388214526346,1.18371538691432,0.870428560180734
"GSM5177039","NC","GSE164241","GSM517_cohort",848,-0.0147510200601536,0.639998592600602,3.02696141863886,0.945606134605003,-0.114657208317203,0.0714948147956294,1.13322361465606,-0.18050068822249,1.12682390863504,0.668518825691624
"GSM5177040","NC","GSE164241","GSM517_cohort",144,0.141128934496188,0.38800528064976,2.60882177608054,1.69083612558021,0.115800654481235,-0.116679335607891,0.9398260048151,0.00148932830425804,0.964837259967745,0.397168758884337
"GSM5177041","NC","GSE164241","GSM517_cohort",340,0.175062438785909,0.265813817417028,2.21965236975876,1.48981274005065,-0.0409814045374195,0.128424596244019,1.54546370703842,0.0389201608266398,0.844939837926496,0.532472144070457
"GSM5177042","PD","GSE164241","GSM517_cohort",438,-0.0919769934756502,0.755552048475423,2.91181422240208,0.835368561797082,0.0274596932275217,0.887754723298582,1.85004687323392,0.31039986417662,1.27954718272729,0.831158862501941
"GSM5177043","PD","GSE164241","GSM517_cohort",1342,-0.0672105471416813,0.766078271209507,3.06552076337348,1.13218580661478,-0.133488505019311,0.495309819055825,1.83039265266748,0.00674468414841201,1.18159103852986,0.896755882577782
"GSM5177044","PD","GSE164241","GSM517_cohort",492,-0.11311280758409,0.968401916873363,2.9766901997553,0.435698408686509,0.0652101992190501,0.269071203538064,1.54141314969566,0.0104889457610319,1.28013138852162,1.06164972213556
"GSM5220920","NC","GSE171213","GSM522_cohort",127,-0.0381325353585707,1.17910872288282,4.09919404333166,0.614917998944962,-0.342563745881027,0.25591007451192,0.680564963224813,-0.157425712292568,1.5973673960841,1.03442816566252
"GSM5220921","NC","GSE171213","GSM522_cohort",40,-0.136156281040132,1.4609588682274,3.33701999868512,0.805653802659195,-0.218048484602588,0.108508525082778,0.795716125209104,-0.116291032081157,1.28427022269877,1.23869808017534
"GSM5220922","NC","GSE171213","GSM522_cohort",323,-0.064831391697387,1.62594202986761,4.72876159605741,1.00714477721358,0.0225693515731285,0.175153041098036,1.08570532092329,0.44398645507172,2.06120976639242,1.37556308229036
"GSM5220923","NC","GSE171213","GSM522_cohort",110,0.727830721325645,0.64783711378255,3.0413062319379,1.39715919459155,-0.163010044001948,-0.090094674535533,0.485883317647469,-0.120946410186766,1.2151463654635,0.802947142886716
"GSM5220924","PD","GSE171213","GSM522_cohort",268,-0.123823529098677,1.25633826596316,4.43147313293826,-0.0134102897380685,-0.419162714608043,0.454918576298997,1.35696935070994,-0.140187358000252,1.77335000852832,1.21827390156582
"GSM5220925","PD","GSE171213","GSM522_cohort",143,-0.0350801111879103,1.56559885380259,4.7749323844332,-0.0428789253643543,-0.458855716230442,0.402048667827635,0.966538780738843,-0.137729430537643,1.84072950141248,1.59845364791032
"GSM5220926","PD","GSE171213","GSM522_cohort",172,0.506924234724444,0.983521579779511,3.86655372147215,0.910737543767497,-0.140614828787661,-0.0186851335508319,1.09506907977976,0.0719579248089393,1.62100318790988,1.07938181105996
"GSM5220927","PD","GSE171213","GSM522_cohort",6,0.799055937283039,0.619663977979209,3.31822698622906,0.702963553526371,-0.106738660730615,-0.450049511445158,0.285088955708407,0.0730443212773761,1.30402165635893,0.863439136927817
"GSM5220928","PD","GSE171213","GSM522_cohort",78,-0.000450123169570255,1.62338580816088,4.86988608812092,0.715920236209845,-0.0650578458870646,-0.0351449094724906,0.936983186552277,0.250386740497166,2.07323449537139,1.23270986028129
