"gene"
"HBB"
"HBA2"
"HBA1"
"IGKC"
"MT-RNR2"
"IGLC2"
"IGHG4"
"MT-RNR1"
"IGLC3"
"IGHG1"
"IGHG2"
"IGHG3"
"RP11-338I21.1"
"SNORD3A"
"MTRNR2L1"
"MTRNR2L12"
"MT-ATP8"
"MT-ND6"
"IGHGP"
"RPL39P3"
"RPS28P7"
"RPL6P27"
"AL590867.2"
"RPL3P4"
"IGLC7"
"MTRNR2L10"
"AC024293.1"
"MTRNR2L8"
"AC116533.1"
"IGHA1"
"IGHM"
"RPL26P19"
"RPS3AP6"
"RPL13AP5"
"AL450405.1"
"AC114491.1"
"RPL10AP6"
"AC034102.1"
"RPL9P9"
"AC099560.2"
"AC092803.2"
"AC005912.1"
"AC136632.1"
"AL591845.1"
"AL449283.1"
"AC009061.2"
"AL121895.2"
"IGHV4-39"
"AC034236.1"
"RPL34P18"
"AL161909.1"
"RPL14P1"
"AL109918.1"
"RPS23P8"
"AC027288.3"
"AC000403.1"
"AC008443.5"
"MT-ND4L"
"AC104083.1"
"AC004453.1"
"IGLV3-21"
"AC026403.1"
"RPS7P1"
"AL079303.2"
"AC243964.2"
"AC026111.1"
"IGLL5"
"RPL4P4"
"RPS27AP16"
"AC106869.1"
"AL031963.3"
"AC074033.1"
"MT-TL1"
"MIR4435-2HG"
"AC139530.1"
"AL603840.1"
"AL450326.1"
"RPL12P4"
"AC011477.3"
"AC016739.1"
"IGHA2"
"AC099343.3"
"AC012313.3"
"AC021016.2"
"IGHV3-23"
"AC108463.1"
"AL158151.1"
"AC026979.3"
"AC010343.1"
"AC079776.1"
"AC046143.1"
"MIR3945HG"
"AC008560.1"
"AC018645.2"
"IGLV3-1"
"AL356599.1"
"RP11-536I6.2"
"AC113935.1"
"MT-TT"
"RPS3AP26"
"AC092687.3"
"AC011472.4"
"AC010168.2"
"AC006059.1"
"AC096733.2"
"RPS20P22"
"AC079089.1"
"AC015849.6"
"AC233723.1"
"RPL18AP3"
"AC010904.2"
"AC027682.6"
"AC072061.1"
"AC098679.2"
"AC104984.2"
"RPL7P19"
"AL928921.2"
"RPL7P9"
"AC009113.1"
"RPS13P2"
"AC120053.1"
"AC012065.2"
"AC022532.1"
"AC023818.2"
"AL354861.2"
"AC010618.2"
"AC011365.1"
"AC092807.2"
"AL359764.1"
"AC073861.1"
"AC013403.2"
"AC015813.5"
"AC108062.1"
"AL031282.2"
"AL136295.6"
"AL606834.2"
"RPS4Y1"
"AC004943.2"
"IGKV3-20"
"AC003681.1"
"MT-TY"
"AC015712.2"
"IGLV6-57"
"AC099778.1"
"AC009120.2"
"AL049873.1"
"AC006213.5"
"AL662797.1"
"AC068790.9"
"IGHV3-30"
"AC073896.2"
"AL031727.1"
"IGLV1-51"
"RPS18P9"
"AC006333.2"
"AC009974.1"
"AC092952.1"
"AC137767.1"
"AC107027.3"
"AL136116.3"
"AL662795.2"
"MTRNR2L6"
"RPL23P8"
"RPS2P5"
"AC022364.1"
"AL139393.2"
"AC243964.3"
"AC090617.6"
"AC109326.1"
"IGHV1-24"
"RPS15AP24"
"AC080038.1"
"RPL24P8"
"AC005822.1"
"AC078778.1"
"AL157392.4"
"AL353807.3"
"AL137024.1"
"RPL7AP6"
"RPL34P27"
"RPL5P34"
"AC099066.2"
"IGKV1-5"
"RP11-154H12.3"
"IGHD"
"RPL10P9"
"MT-ND5"
"AC132008.2"
"RP11-451G4.2"
"AC002985.2"
"AC091544.3"
"AC122129.1"
"AL022068.1"
"AL162377.1"
"AC098847.2"
"AC005261.2"
"RPL13P12"
"RP11-400N13.3"
"AC025280.1"
"AL132821.1"
"AL391244.1"
"AC018521.5"
"AC026471.6"
"AL157702.2"
"AC012236.1"
"AC090152.1"
"AC243562.2"
"AC133552.2"
"AC002553.1"
"AC009118.3"
"AL359922.3"
"AL731569.1"
"AL136164.4"
"AC005840.3"
"AC009533.1"
"AC142381.3"
"AL022393.1"
"AL122010.1"
"AL133353.1"
"AL596094.1"
"AC087752.3"
"AC124312.2"
"AC079354.1"
"AC080100.1"
"AC105942.1"
"AL391807.1"
"RPSAP58"
"IGKV1-9"
"AC093908.1"
"IGLV2-8"
"AC020916.1"
"AC098934.3"
"AL136370.1"
"RPL24P4"
"RPS11P5"
"AL591846.1"
"AC009414.2"
"AC040170.1"
"AC106820.4"
"AC097376.2"
"AL117336.3"
"AC010245.2"
"AC069307.1"
"AL121832.2"
"AC040970.1"
"AC104758.2"
"AL163051.2"
"AL355802.3"
"AC244153.1"
"AC134043.2"
"AC099786.2"
"AL132989.1"
"AC041040.2"
"AC025165.5"
"AL590235.1"
"SNORA2"
"AL139287.1"
"AL353625.1"
"RPSAP19"
"AC115223.1"
"AC103706.1"
"AC105206.2"
"AC107294.3"
"RP11-490O6.2"
"AL135925.1"
"RPL30P4"
"AC012354.2"
"AC007066.2"
"AC003986.2"
"AC004980.1"
"AC006213.4"
"AC010761.1"
"AL137013.1"
"AC004241.1"
"AL645933.2"
"AC093227.1"
"MT-TP"
"AC134312.5"
"AC125807.2"
"AC016582.3"
"AC100793.4"
"AC092171.4"
"AL162730.1"
"AC245452.1"
"AC007920.2"
"RPL12P6"
"AL590762.3"
"AL353743.1"
"RPS24P17"
"AC233723.2"
"AL133243.3"
"RPL23AP87"
"AL137003.2"
"AC005674.2"
"AC008035.1"
"AL133216.2"
"AC012313.2"
"AC106886.5"
"AC116050.1"
"AL021408.1"
"AL355987.4"
"AL391069.3"
"AC215219.1"
"AL139351.1"
"AL157392.3"
"AC139768.1"
"RPL37P23"
"AC025181.2"
"AC084824.1"
"AC003973.3"
"RPL37P2"
"IGKV3-11"
"AC020915.4"
"AC005726.2"
"AC015922.3"
"AC007365.1"
"AC026801.3"
"AC139769.1"
"AL353763.1"
"RPL10P6"
"AC006157.1"
"AC090409.1"
"AL513318.2"
"IGLON5"
"AC109347.1"
"AL138762.1"
"AL133477.1"
"AC099786.1"
"AC136628.3"
"AC073111.5"
"AC092053.3"
"AC124016.2"
"AC105052.2"
"AC106882.1"
"AC122718.1"
"AL008729.1"
"AL121749.1"
"AL132780.2"
"AL132780.4"
"AC008147.2"
"AL049874.3"
"AC114776.3"
"AC007969.1"
"AL357060.2"
"RPS26P3"
"RPL29P19"
"AC135050.6"
"AC107959.1"
"AL445472.1"
"RPL18P13"
"RP11-605B16.1"
"AL022344.2"
"AC009041.2"
"AC091825.1"
"RPL7P1"
"MIR100HG"
"AC103770.1"
"AC132872.1"
"AC003102.1"
"AC006449.6"
"AC011477.2"
"AL513327.1"
"RPL13P5"
"AL359504.2"
"RP11-1143G9.4"
"MIR222HG"
"RPL35P5"
"AL731556.1"
"AL137186.2"
"AL592293.2"
"AC008669.1"
"AC026271.1"
"RP11-70C1.1"
"AL591135.1"
"AC022007.1"
"AC136475.1"
"AC245060.5"
"AC004982.2"
"AC027290.2"
"AC068338.2"
"AC090198.1"
"AL353150.1"
"AL445471.2"
"AC097534.2"
"AC021054.1"
"AC009779.2"
"AL162151.2"
"RP11-20D14.6"
"AC060780.1"
"AC022400.7"
"AC116351.1"
"AC110597.1"
"AC104306.1"
"AL662907.1"
"AC008622.2"
"RPL23AP32"
"AC002467.1"
"AC012358.3"
"AC025048.6"
"AC026356.2"
"AC073569.1"
"AC092164.1"
"AC104046.1"
"AL021807.1"
"AL109741.1"
"AL391001.1"
"AC026469.1"
"AC069200.1"
"AC239859.6"
"AL359091.4"
"AC079760.2"
"AC048341.3"
"AL133243.2"
