"cluster_final","n_cells","n_samples","n_datasets","n_cohorts","max_dataset_fraction","max_sample_fraction","NC_fraction","PD_fraction","median_percent_mt","median_nFeature_RNA","score_PI16_fibroblast_z","score_Activated_fibroblast_z","score_ECM_fibroblast_z","score_Adventitial_fibroblast_z","score_Myofibroblast_z","score_Stress_z","score_Contamination_z","dominant_fixed_program","program_margin","annotation_flag"
"0",4886,24,3,4,0.997953336062219,0.223291035611953,0.163528448628735,0.836471551371265,7.39245775499465,2258,-0.366828251674824,0.222586209561514,0.109814106787524,-0.0811249260127072,-0.120195402070855,0.618440624840067,0.00843425330072521,"Activated_fibroblast",0.11277210277399,"Mixed-program"
"1",3436,17,1,2,1,0.678114086146682,0.989522700814901,0.010477299185099,3.53601142781689,1348.5,-0.0869478400251195,0.0188748477217319,0.205377430102448,-0.462498433066584,-0.061793316206481,-0.114904007610061,-0.204048881808578,"ECM_fibroblast",0.186502582380717,"Dataset-limited"
"2",1858,26,3,4,0.993541442411195,0.327233584499462,0.931646932185145,0.0683530678148547,4.58081478205317,1123,0.104054287566994,-0.50389234373947,-0.387015474449335,0.0680868773421533,0.118699096543996,-0.299426786400569,0.0752583820173498,"Myofibroblast",0.0146448089770015,"Mixed-program"
"3",1343,24,3,4,0.77885331347729,0.233060312732688,0.408041697691735,0.591958302308265,11.0034322632748,1914,-0.358280189963342,1.39609452057759,1.60217541700625,-0.0528130210793079,-0.119882632537436,-0.305802716357914,0.470645959358954,"ECM_fibroblast",0.206080896428665,"Supported"
"4",1291,27,3,4,0.972889233152595,0.402013942680093,0.932610379550736,0.0673896204492641,3.65421325334061,1090,0.0430482882683619,0.692415475893804,0.404798459004278,-0.443348043644729,0.625246436889563,-0.666177804012827,0.0703431345901334,"Activated_fibroblast",0.0671690390042409,"Mixed-program"
"5",1176,25,3,4,0.97108843537415,0.295918367346939,0.856292517006803,0.143707482993197,4.99334276372546,1045,0.070315320605268,-1.02304892598182,-1.06158859210443,1.82341120665836,-0.0982333972397025,-0.307959922763396,0.233148853657327,"Adventitial_fibroblast",1.75309588605309,"Dataset-limited"
"6",1025,14,2,3,0.859512195121951,0.384390243902439,0.917073170731707,0.0829268292682927,8.36216839677047,1249,2.24641363263172,-1.0656625551445,-1.17710798113989,0.5705917870244,-0.211127605911393,-0.552422982747729,-0.198484420695164,"PI16_fibroblast",1.67582184560732,"Supported"
"7",885,14,1,2,1,0.887005649717514,0.970621468926554,0.0293785310734463,3.1390134529148,1475,-0.0728824890534764,-0.72250179146375,-0.777973341896869,-0.257464485097198,0.331494447894441,0.212812863533844,-0.172361699004196,"Myofibroblast",0.404376936947917,"Dataset-limited"
"8",132,6,2,3,0.984848484848485,0.878787878787879,0.992424242424242,0.00757575757575758,8.58431529795922,2467.5,0.0194993712830226,-0.38043788721923,-0.409090508492353,0.00737656552106663,-0.216526076327558,-0.4528190786377,-0.916778823984872,"PI16_fibroblast",0.012122805761956,"Mixed-program"
