"celltype","mean_proportion","sd_proportion","min_proportion","max_proportion"
"Activated_Fib",0.0397218144222067,0.074397399307078,9.03621467914814e-07,0.380231666643187
"Adventitial_Fib",0.00951035838467683,0.0249191458353488,9.03621467865243e-07,0.152868319328957
"B.cells",0.00221281808360449,0.00554754628440502,1.73688441636952e-06,0.0344167932642045
"Cycling.cells",0.00155556993427372,0.00759623477634148,1.68871785105582e-05,0.0770964413581023
"ECM_Fib",0.0421016102335987,0.0826488274160587,4.13965246651127e-06,0.373554205901771
"Endothelial.cells",0.0295643145442426,0.0562394406592771,5.10287401391529e-06,0.334155443193156
"Epithelial.cells",0.799631521132085,0.285985539599141,0.108475022473231,0.999716675996785
"Inflammatory_Fib",0.0241280049422336,0.0505543802354506,1.73688441636855e-06,0.227671255612384
"Macrophages",0.0141388132683907,0.0250101964454762,1.73688441596775e-06,0.121516864450315
"Mast.cells",0.00453023617929951,0.0107619514800719,1.73688441542117e-06,0.0612537424429633
"Neutrophils",0.00331618017273142,0.00532248363082809,1.73688441625364e-06,0.0324834693171131
"pDCs",0.00248123403316698,0.00474731619714306,9.03621467953441e-07,0.0265366743283093
"Pericytes",0.0114239967318903,0.0221161549139056,1.03634403963111e-05,0.108041541328622
"PI16_Fib",0.00874501463981812,0.0194238699812509,1.73688441629123e-06,0.145091245162039
"Plasma.cells",0.00328700926013185,0.0214028625977233,9.03624089774932e-07,0.227343227450953
"T.cells",0.00365150403764909,0.0092792322220473,9.03621467912849e-07,0.0847440068318503
