"target","sample","measure","value"
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.R2",53.1149153086982
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.RMSE",0.0341772457919485
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.R2",51.3287051026109
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.RMSE",0.535627000451428
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.R2",0.555340993499734
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.RMSE",-1.87895215410766
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.R2",-1.7862102060873
"Epithelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.RMSE",0.0532118653987642
"Epithelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.R2",96.313618153477
"Epithelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.RMSE",0.0491508386350757
"Epithelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.R2",96.8622992066516
"Epithelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.RMSE",0.190065718112787
"Epithelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.R2",0.179792537090457
"Epithelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.RMSE",7.6318068033428
"Epithelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.R2",0.548681053174604
"Inflammatory_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.RMSE",0.0339196065922915
"Inflammatory_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.R2",46.2397319648722
"Inflammatory_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.RMSE",0.0319566510413791
"Inflammatory_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.R2",43.843766945794
"Inflammatory_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.RMSE",0.315566671947807
"Inflammatory_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.R2",0.578039976040447
"Inflammatory_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.RMSE",5.78708230465886
"Inflammatory_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.R2",-2.3959650190782
"Macrophages","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.RMSE",0.0146819406575898
"Macrophages","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.R2",61.3115875916171
"Macrophages","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.RMSE",0.0149826792240793
"Macrophages","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.R2",60.2608198186574
"Macrophages","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.RMSE",0.572825683797667
