"old_name","new_name"
"Activated_Fib","Activated_Fib"
"Adventitial_Fib","Adventitial_Fib"
"B cells","B.cells"
"Cycling cells","Cycling.cells"
"ECM_Fib","ECM_Fib"
"Endothelial cells","Endothelial.cells"
"Epithelial cells","Epithelial.cells"
"Inflammatory_Fib","Inflammatory_Fib"
"Macrophages","Macrophages"
"Mast cells","Mast.cells"
"Neutrophils","Neutrophils"
"pDCs","pDCs"
"Pericytes","Pericytes"
"PI16_Fib","PI16_Fib"
"Plasma cells","Plasma.cells"
"T cells","T.cells"
