"target","sample","view","value"
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",0.147632850973724
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",0.0084780268334471
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",7.66053886991358e-14
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",0.373515338292577
"Endothelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",0.955294127037148
"Epithelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",-0.0733469895661973
"Epithelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.845439406382415
"Epithelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",0.225315371645538
"Epithelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",0.0187731215961246
"Epithelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"Epithelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",0
"Epithelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",0.00188451540385826
"Epithelial.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",0.778707202211429
"Inflammatory_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",-0.00185521243337179
