"package","version"
"Seurat","5.5.1"
"Matrix","1.7.5"
"spacexr","2.2.1"
"SpatialExperiment","1.20.0"
"SummarizedExperiment","1.40.0"
"mistyR","1.18.0"
"ggplot2","4.0.3"
"patchwork","1.3.2"
"R.utils","2.13.0"
