"view","Predictor","Target","Importance","nsamples"
"intra","Endothelial.cells","Plasma.cells",-0.705780373368554,1
"intra","Endothelial.cells","T.cells",-0.976642617539552,1
"intra","Endothelial.cells","pDCs",-0.392873478407672,1
"intra","Epithelial.cells","Activated_Fib",2.15532650942622,1
"intra","Epithelial.cells","Adventitial_Fib",1.51496534951761,1
"intra","Epithelial.cells","B.cells",-0.0162912260741524,1
"intra","Epithelial.cells","Cycling.cells",-0.760621694342181,1
"intra","Epithelial.cells","ECM_Fib",2.4171276891298,1
"intra","Epithelial.cells","Endothelial.cells",1.59487849953825,1
"intra","Epithelial.cells","Epithelial.cells",NA,1
"intra","Epithelial.cells","Inflammatory_Fib",2.51685254554854,1
"intra","Epithelial.cells","Macrophages",2.58025168856862,1
"intra","Epithelial.cells","Mast.cells",0.28077448519208,1
"intra","Epithelial.cells","Neutrophils",-0.070704532056527,1
"intra","Epithelial.cells","PI16_Fib",1.96599495479052,1
"intra","Epithelial.cells","Pericytes",1.36272068789568,1
"intra","Epithelial.cells","Plasma.cells",2.67407179531121,1
"intra","Epithelial.cells","T.cells",1.78176124568977,1
"intra","Epithelial.cells","pDCs",0.163599325490972,1
"intra","Inflammatory_Fib","Activated_Fib",0.983429856508735,1
"intra","Inflammatory_Fib","Adventitial_Fib",0.643734608687505,1
"intra","Inflammatory_Fib","B.cells",-1.15352875092021,1
"intra","Inflammatory_Fib","Cycling.cells",-0.171408029320548,1
"intra","Inflammatory_Fib","ECM_Fib",0.917783449215005,1
"intra","Inflammatory_Fib","Endothelial.cells",0.446370718151447,1
"intra","Inflammatory_Fib","Epithelial.cells",2.01139029624765,1
"intra","Inflammatory_Fib","Inflammatory_Fib",NA,1
"intra","Inflammatory_Fib","Macrophages",1.20977698949945,1
"intra","Inflammatory_Fib","Mast.cells",-0.769707258627174,1
"intra","Inflammatory_Fib","Neutrophils",0.494020508063853,1
"intra","Inflammatory_Fib","PI16_Fib",-0.116628812167984,1
"intra","Inflammatory_Fib","Pericytes",1.13092595877613,1
"intra","Inflammatory_Fib","Plasma.cells",-0.642815662580835,1
"intra","Inflammatory_Fib","T.cells",1.56579067393605,1
"intra","Inflammatory_Fib","pDCs",-0.194046310754731,1
"intra","Macrophages","Activated_Fib",0.745433934096007,1
"intra","Macrophages","Adventitial_Fib",0.743869193128943,1
"intra","Macrophages","B.cells",2.38348287916087,1
"intra","Macrophages","Cycling.cells",-0.900337638160655,1
"intra","Macrophages","ECM_Fib",0.227613896087934,1
"intra","Macrophages","Endothelial.cells",1.47626628584335,1
"intra","Macrophages","Epithelial.cells",1.13917551259744,1
"intra","Macrophages","Inflammatory_Fib",1.06849119217334,1
"intra","Macrophages","Macrophages",NA,1
"intra","Macrophages","Mast.cells",0.868220506727187,1
"intra","Macrophages","Neutrophils",-0.414072754772946,1
"intra","Macrophages","PI16_Fib",-0.2375074695845,1
"intra","Macrophages","Pericytes",1.00731802138309,1
"intra","Macrophages","Plasma.cells",-0.558136868977637,1
"intra","Macrophages","T.cells",0.194480088588397,1
"intra","Macrophages","pDCs",-0.735466572933484,1
"intra","Mast.cells","Activated_Fib",-0.230548630098348,1
"intra","Mast.cells","Adventitial_Fib",-0.408533109798307,1
"intra","Mast.cells","B.cells",-1.5963199627961,1
"intra","Mast.cells","Cycling.cells",0.524260367134695,1
"intra","Mast.cells","ECM_Fib",-0.405269848208376,1
"intra","Mast.cells","Endothelial.cells",-0.564816529036359,1
"intra","Mast.cells","Epithelial.cells",-0.48510781929995,1
"intra","Mast.cells","Inflammatory_Fib",-0.375147868394236,1
"intra","Mast.cells","Macrophages",-0.589079629328645,1
"intra","Mast.cells","Mast.cells",NA,1
"intra","Mast.cells","Neutrophils",-0.6751890834915,1
"intra","Mast.cells","PI16_Fib",0.0928177436917367,1
"intra","Mast.cells","Pericytes",0.688409475005955,1
"intra","Mast.cells","Plasma.cells",0.287679700263554,1
"intra","Mast.cells","T.cells",0.13558506465056,1
"intra","Mast.cells","pDCs",-0.326770190091864,1
"intra","Neutrophils","Activated_Fib",-0.952856292901147,1
"intra","Neutrophils","Adventitial_Fib",-0.07389071870688,1
