"module","rho_AGT_mean","p_AGT_mean","n_AGT_mean","rho_AGT_positive_fraction","p_AGT_positive_fraction","n_AGT_positive_fraction","p_adjust_AGT_mean","p_adjust_AGT_positive_fraction"
"Fibroblasts2",0.490862276707895,0.00799585073625704,28,0.510111777755263,0.00555027349413921,28,0.0657731390495155,0.0499524614472529
"Fibroblasts4",0.456488167694737,0.0146162531221146,28,0.408639407948421,0.0308505070649038,28,0.0657731390495155,0.138827281792067
"Fibroblasts9",0.397914685936316,0.0359888969745762,28,0.363815569795263,0.0570190722951502,28,0.107966690923729,0.171057216885451
"Fibroblasts5",0.187820131647895,0.33852017294258,28,0.265368121581579,0.172318387164718,28,0.691482974771517,0.387716371120616
"Fibroblasts1",0.171045566449474,0.384157208206398,28,0.100097405446316,0.612300070530541,28,0.691482974771517,0.907119126037178
"Fibroblasts7",0.109447163097895,0.579301230636216,28,0.191395038985263,0.329236823146623,28,0.744815867960849,0.592626281663922
"Fibroblasts3",-0.0195244939194737,0.921445739215186,28,-0.05747351027,0.771436980337525,28,0.921445739215186,0.907119126037178
"Fibroblasts6",-0.0632483605842105,0.749165113516053,28,-0.0230994012568421,0.907119126037178,28,0.842810752705559,0.907119126037178
"Fibroblasts8",-0.119346906493684,0.545245251977445,28,-0.0263993157221053,0.893919650766814,28,0.744815867960849,0.907119126037178
