"gene_name","module","kME"
"SERPINE1","Fibroblasts2",0.349125739941964
"HNRNPU","Fibroblasts2",0.34719705433711
"TEAD1","Fibroblasts2",0.34705496083114
"GSN","Fibroblasts3",0.651994250341016
"CFD","Fibroblasts3",0.641630760270087
"APOD","Fibroblasts3",0.550016779569511
"ABCA8","Fibroblasts3",0.525403555849475
"PLAC9","Fibroblasts3",0.503591571566871
"NTRK2","Fibroblasts3",0.499540111302365
"CST3","Fibroblasts3",0.489933072376641
"TSPAN8","Fibroblasts3",0.446339197053001
"CFH","Fibroblasts3",0.445812331439346
"NFIB","Fibroblasts3",0.440779885154707
"SOD3","Fibroblasts3",0.436673669562313
"MGP","Fibroblasts3",0.430547575742771
"ANGPTL1","Fibroblasts3",0.414990221921521
"TXNIP","Fibroblasts3",0.411462172897544
"LTBP4","Fibroblasts3",0.407292005272957
"FGL2","Fibroblasts3",0.396772130045274
"CHRDL1","Fibroblasts3",0.389414342720814
"CXCL14","Fibroblasts3",0.387731836422219
"FBLN1","Fibroblasts3",0.384670536454021
"LSP1","Fibroblasts3",0.382391516596953
"MFAP5","Fibroblasts3",0.365780569985319
"DPT","Fibroblasts3",0.360016753795415
"PRELP","Fibroblasts3",0.35443165529678
"TNXB","Fibroblasts3",0.348294200902605
"IL11RA","Fibroblasts3",0.341634115643238
"NFIA","Fibroblasts3",0.338566021784139
"ITM2A","Fibroblasts3",0.334942468996128
"EPHX1","Fibroblasts3",0.329491843438636
"SPARCL1","Fibroblasts3",0.329125860235498
"GAS6","Fibroblasts3",0.325198653001993
"CD34","Fibroblasts3",0.322177950883045
"PLA2G2A","Fibroblasts3",0.316748377099601
"GREM2","Fibroblasts3",0.311836206509708
"CNTFR","Fibroblasts3",0.311391529596117
"GPC3","Fibroblasts3",0.309832754125209
"IGFBP7","Fibroblasts3",0.308023779084812
"CYBRD1","Fibroblasts3",0.305369611378357
"OSR1","Fibroblasts3",0.298530168746871
"GDF10","Fibroblasts3",0.296780602622626
"ELN","Fibroblasts3",0.295630068544517
"MAB21L2","Fibroblasts3",0.294530353022566
"GPX3","Fibroblasts3",0.294312354124198
"RAMP2","Fibroblasts3",0.292839140834244
"CADM3","Fibroblasts3",0.291138863350653
"F10","Fibroblasts3",0.286041024978001
"DDAH2","Fibroblasts3",0.28472690477293
"FGF7","Fibroblasts3",0.278521158487713
"CILP","Fibroblasts3",0.26956494686884
"MGST1","Fibroblasts3",0.265950057461202
"FHL1","Fibroblasts3",0.263602758920513
"MN1","Fibroblasts3",0.255879594776993
"FIBIN","Fibroblasts3",0.247796845145627
"ZBTB16","Fibroblasts3",0.245024108812539
"PTGER3","Fibroblasts3",0.244709138722193
"SLPI","Fibroblasts3",0.243809751933119
"DKK2","Fibroblasts3",0.240485342855974
"SRPX","Fibroblasts3",0.232949128284266
"CNTN1","Fibroblasts3",0.228017422915129
"EBF1","Fibroblasts3",0.226884455735048
"VIT","Fibroblasts3",0.224179083262031
"FIGF","Fibroblasts3",0.224168746671603
"ITGBL1","Fibroblasts3",0.220452006303705
"FCGRT","Fibroblasts3",0.218708605865358
"ABCA10","Fibroblasts3",0.218437566678167
"LRRN4CL","Fibroblasts3",0.216560506026638
"CD99","Fibroblasts3",0.216310333488441
"TNFSF10","Fibroblasts3",0.216245294741833
"ARHGAP6","Fibroblasts3",0.214083960984327
"PROS1","Fibroblasts3",0.212713082873056
"CKB","Fibroblasts3",0.211414891684281
"SPRY1","Fibroblasts3",0.204382520405772
"TNFSF13B","Fibroblasts3",0.203487213047172
"CCDC146","Fibroblasts3",0.197739956106961
"NPDC1","Fibroblasts3",0.196888832048713
"PLSCR4","Fibroblasts3",0.189967642792782
"NTN4","Fibroblasts3",0.189952141380412
"PALMD","Fibroblasts3",0.187766262556686
"TMEM100","Fibroblasts3",0.187684031980301
"ABCA6","Fibroblasts3",0.1860403212832
"LIMCH1","Fibroblasts3",0.185078865659407
"GSTM5","Fibroblasts3",0.184412007955312
"USP53","Fibroblasts3",0.184411988140115
"ARHGAP29","Fibroblasts3",0.183980674830396
"IL16","Fibroblasts3",0.183484294946628
"GPNMB","Fibroblasts3",0.183072086909113
"SEPT7","Fibroblasts3",0.18172057822807
"HLF","Fibroblasts3",0.179417348357264
"CRYAB","Fibroblasts3",0.175511666242127
"FRZB","Fibroblasts3",0.175064125962169
"AHNAK2","Fibroblasts3",0.173961308439153
"MAB21L1","Fibroblasts3",0.16993874943039
"PAM","Fibroblasts3",0.169293149971127
"BMP4","Fibroblasts3",0.169105501542276
"ZNF704","Fibroblasts3",0.16858053206341
"CDO1","Fibroblasts3",0.16843960515655
"TCEAL2","Fibroblasts3",0.166806416106117
"FXYD6","Fibroblasts3",0.166271143120862
"F13A1","Fibroblasts3",0.16611593201697
"RGN","Fibroblasts3",0.164102483883872
"BST1","Fibroblasts3",0.162254799292664
"SOD2","Fibroblasts4",0.684029390430104
"NFKBIA","Fibroblasts4",0.582796748047017
"NAMPT","Fibroblasts4",0.544902714319411
"ATF3","Fibroblasts4",0.501010851741636
"LMNA","Fibroblasts4",0.490116249630089
"CXCL1","Fibroblasts4",0.483184668906315
"NNMT","Fibroblasts4",0.477162047770145
"CEBPB","Fibroblasts4",0.472088344219603
"IL6","Fibroblasts4",0.4646205087662
"NR4A1","Fibroblasts4",0.464220550269112
"ICAM1","Fibroblasts4",0.425257559642167
"SAT1","Fibroblasts4",0.418826837868263
"TNFAIP6","Fibroblasts4",0.418130770289077
"PTGS2","Fibroblasts4",0.410394119505859
"CD44","Fibroblasts4",0.405332407366958
"NCOA7","Fibroblasts4",0.404757683488877
"LBP","Fibroblasts4",0.400741123282357
"G0S2","Fibroblasts4",0.400598446801761
"STEAP1","Fibroblasts4",0.390250343319513
"IRF1","Fibroblasts4",0.389868169305337
"MAFF","Fibroblasts4",0.381191072667428
"SERTAD1","Fibroblasts4",0.378676852388649
"RND3","Fibroblasts4",0.378186569921804
"CHI3L2","Fibroblasts4",0.365144270123734
"ARID5B","Fibroblasts4",0.363725574986726
"IL24","Fibroblasts4",0.363332167576223
"ABL2","Fibroblasts4",0.360354893062577
"RPL7A","Fibroblasts4",0.353481724047656
"LGALS3","Fibroblasts4",0.351570009659587
"RPS12","Fibroblasts4",0.350383590647971
"PIM3","Fibroblasts4",0.349889565827174
"KLF6","Fibroblasts4",0.348888030172045
"SQSTM1","Fibroblasts4",0.346812943061192
"IGFBP2","Fibroblasts4",0.346266375426547
"CCNL1","Fibroblasts4",0.345573048505196
"NR4A2","Fibroblasts4",0.336040054012122
"CXCL8","Fibroblasts4",0.335591114599388
"UBC","Fibroblasts4",0.335270682995901
"DDX5","Fibroblasts4",0.331091218726127
"KYNU","Fibroblasts4",0.329705825150936
"GRAMD1A","Fibroblasts4",0.323129889714067
"SGK1","Fibroblasts4",0.320242004512322
"RAB13","Fibroblasts4",0.309564576483601
"WFDC2","Fibroblasts4",0.309527296331081
"EEF1B2","Fibroblasts4",0.307625645998869
"CSRNP1","Fibroblasts4",0.306769698289354
"SLC2A3","Fibroblasts4",0.306202244369146
"BTG3","Fibroblasts4",0.301350863725801
"CTGF","Fibroblasts4",0.297273814175604
"HSD11B1","Fibroblasts4",0.296172317123414
"H2AFJ","Fibroblasts4",0.288165895656426
"TNIP1","Fibroblasts4",0.285548384971909
"TAGLN2","Fibroblasts4",0.284121355836872
"CALR","Fibroblasts4",0.281498542522705
"NACA","Fibroblasts4",0.276322849412676
"TIMP1","Fibroblasts4",0.27529284209333
"LAP3","Fibroblasts4",0.27318991946511
"RELB","Fibroblasts4",0.272760189946645
"BATF","Fibroblasts4",0.271775885493129
"FAM20A","Fibroblasts4",0.270922183788249
"FAM65C","Fibroblasts4",0.269098097852582
"BTG2","Fibroblasts4",0.268574087844586
"CD63","Fibroblasts4",0.266636714932449
"STOM","Fibroblasts4",0.262418416982247
"KLF4","Fibroblasts4",0.260844823066508
"ADAMTS1","Fibroblasts4",0.257478615330507
"KPNA2","Fibroblasts4",0.256577369220737
