"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","2/48","51/6031",0.0392156862745098,4.92728758169935,2.52259176538962,0.061802788082315,0.228478715940049,0.18751152423269,"4535/4540",2
"KEGG_MEDICUS_REFERENCE_AHR_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_AHR_SIGNALING_PATHWAY","1/48","8/6031",0.125,15.7057291666667,3.72773386086743,0.0619603297464539,0.228478715940049,0.18751152423269,"196",1
"KEGG_MEDICUS_REFERENCE_PLASMIN_MEDIATED_ACTIVATION_OF_LATENT_TGF_BETA","KEGG_MEDICUS_REFERENCE_PLASMIN_MEDIATED_ACTIVATION_OF_LATENT_TGF_BETA","1/48","8/6031",0.125,15.7057291666667,3.72773386086743,0.0619603297464539,0.228478715940049,0.18751152423269,"2200",1
"KEGG_MEDICUS_REFERENCE_REGULATION_OF_SERCA","KEGG_MEDICUS_REFERENCE_REGULATION_OF_SERCA","1/48","8/6031",0.125,15.7057291666667,3.72773386086743,0.0619603297464539,0.228478715940049,0.18751152423269,"488",1
"KEGG_MEDICUS_VARIANT_AMPLIFIED_PDGFR_TO_PI3K_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_AMPLIFIED_PDGFR_TO_PI3K_SIGNALING_PATHWAY","1/48","8/6031",0.125,15.7057291666667,3.72773386086743,0.0619603297464539,0.228478715940049,0.18751152423269,"5156",1
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PROK2_TO_PROK_PRKR_GI_ERK_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PROK2_TO_PROK_PRKR_GI_ERK_SIGNALING_PATHWAY","1/48","8/6031",0.125,15.7057291666667,3.72773386086743,0.0619603297464539,0.228478715940049,0.18751152423269,"2771",1
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PROKR2_TO_PROK_PRKR_GI_ERK_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PROKR2_TO_PROK_PRKR_GI_ERK_SIGNALING_PATHWAY","1/48","8/6031",0.125,15.7057291666667,3.72773386086743,0.0619603297464539,0.228478715940049,0.18751152423269,"2771",1
"KEGG_TASTE_TRANSDUCTION","KEGG_TASTE_TRANSDUCTION","2/48","52/6031",0.0384615384615385,4.83253205128205,2.48595328882753,0.0639565931018388,0.231026877122969,0.189602789431875,"2778/2782",2
"KEGG_VIBRIO_CHOLERAE_INFECTION","KEGG_VIBRIO_CHOLERAE_INFECTION","2/48","54/6031",0.037037037037037,4.65354938271605,2.41540525673343,0.0683396911168132,0.231890005706447,0.190311155441508,"2778/71",2
"KEGG_MEDICUS_REFERENCE_PROK_PRKR_GI_ERK_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_PROK_PRKR_GI_ERK_SIGNALING_PATHWAY","1/48","9/6031",0.111111111111111,13.9606481481481,3.48495659340732,0.069435990409275,0.231890005706447,0.190311155441508,"2771",1
"KEGG_MEDICUS_REFERENCE_THYROID_HORMONE_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_THYROID_HORMONE_SIGNALING_PATHWAY","1/48","9/6031",0.111111111111111,13.9606481481481,3.48495659340732,0.069435990409275,0.231890005706447,0.190311155441508,"488",1
"KEGG_MEDICUS_VARIANT_AMPLIFIED_FGFR_TO_PI3K_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_AMPLIFIED_FGFR_TO_PI3K_SIGNALING_PATHWAY","1/48","9/6031",0.111111111111111,13.9606481481481,3.48495659340732,0.069435990409275,0.231890005706447,0.190311155441508,"2260",1
"KEGG_MEDICUS_REFERENCE_AVP_V2R_PKA_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_AVP_V2R_PKA_SIGNALING_PATHWAY","1/48","10/6031",0.1,12.5645833333333,3.27804906498255,0.0768533056634019,0.24732791095313,0.202980979551186,"2778",1
"KEGG_MEDICUS_VARIANT_DELETED_DMD_TO_DYSTROPHIN_ASSOCIATED_PROTEIN_COMPLEX","KEGG_MEDICUS_VARIANT_DELETED_DMD_TO_DYSTROPHIN_ASSOCIATED_PROTEIN_COMPLEX","1/48","10/6031",0.1,12.5645833333333,3.27804906498255,0.0768533056634019,0.24732791095313,0.202980979551186,"71",1
