"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0001656","metanephros development","5/95","92/18860",0.0543478260869565,10.7894736842105,6.69716668349721,0.000101466593737403,0.0105144757760384,0.00826863733175853,"EGR1/FBN1/BASP1/PDGFRB/PDGFRA",5
"BP","GO:0050727","regulation of inflammatory response","10/95","460/18860",0.0217391304347826,4.31578947368421,5.1227575417448,0.000107226902425231,0.010666932253262,0.00838852988236123,"GNAS/CD81/IL1R1/IER3/METRNL/IL6ST/AHR/WNT5A/NFKBIZ/SERPINE1",10
"BP","GO:0061298","retina vasculature development in camera-type eye","3/95","20/18860",0.15,29.7789473684211,9.16212688727208,0.000132636368324787,0.012687178770144,0.00997726203835845,"PDGFRB/PDGFRA/COL4A1",3
"BP","GO:0050878","regulation of body fluid levels","9/95","389/18860",0.0231362467866324,4.59315383574618,5.09509465189398,0.000151626721271517,0.0139665057704541,0.0109833313108178,"GNAS/GNAI2/MYH9/IL6ST/LMAN1/TLN1/PDGFRA/ACTG1/SERPINE1",9
"BP","GO:0060541","respiratory system development","7/95","231/18860",0.0303030303030303,6.01594896331738,5.45771905724521,0.00016724368016922,0.0148548225921732,0.011681908186256,"MME/FBN1/EPAS1/BASP1/FGFR1/WNT5A/PDGFRA",7
"BP","GO:0071560","cellular response to transforming growth factor beta stimulus","8/95","311/18860",0.0257234726688103,5.10678625825013,5.1959970111588,0.000175188715136515,0.0150239425705004,0.0118149049990434,"DDR2/FBN1/ITGB5/PMEPA1/LTBP2/WNT5A/HSP90AB1/NFKBIZ",8
"BP","GO:0071559","response to transforming growth factor beta","8/95","318/18860",0.0251572327044025,4.99437272426349,5.11129218111598,0.000203826344966791,0.016897203997747,0.0132880473315192,"DDR2/FBN1/ITGB5/PMEPA1/LTBP2/WNT5A/HSP90AB1/NFKBIZ",8
"BP","GO:0001822","kidney development","8/95","323/18860",0.0247678018575851,4.91706045299006,5.05229451284029,0.0002265530876086,0.0181754041575029,0.0142932304508244,"EGR1/MME/FBN1/BASP1/FGFR1/WNT5A/PDGFRB/PDGFRA",8
"BP","GO:0007160","cell-matrix adhesion","7/95","246/18860",0.0284552845528455,5.64912280701754,5.22234507980345,0.000245786564222887,0.0191022245381975,0.0150220867212541,"ITGB5/MACF1/MAP4K4/CDH11/TLN1/ACTG1/SERPINE1",7
"BP","GO:0048638","regulation of developmental growth","8/95","332/18860",0.0240963855421687,4.78376664552949,4.9490969772637,0.000272698215263256,0.0205515291321127,0.0161618272395257,"GNAS/COL14A1/MACF1/BASP1/FGFR1/WNT5A/GOLGA4/YBX3",8
