"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0050729","positive regulation of inflammatory response","5/95","179/18860",0.0279329608938547,5.54542781534843,4.34758487344004,0.00211878300397181,0.0461388025670567,0.0362837894608136,"CD81/IL6ST/WNT5A/NFKBIZ/SERPINE1",5
"BP","GO:0061082","myeloid leukocyte cytokine production","3/95","51/18860",0.0588235294117647,11.6780185758514,5.43300062992081,0.00216429357344483,0.0461388025670567,0.0362837894608136,"TWIST1/WNT5A/NR4A3",3
"BP","GO:0010586","miRNA metabolic process","4/95","108/18860",0.037037037037037,7.35282651072125,4.7108787290887,0.00217058299169507,0.0461388025670567,0.0362837894608136,"EGR1/TWIST1/DDX17/TEAD1",4
"BP","GO:0014897","striated muscle hypertrophy","4/95","108/18860",0.037037037037037,7.35282651072125,4.7108787290887,0.00217058299169507,0.0461388025670567,0.0362837894608136,"COL14A1/IL6ST/ATP2A2/NR4A3",4
"BP","GO:0014812","muscle cell migration","4/95","110/18860",0.0363636363636364,7.21913875598086,4.65449750234874,0.0023205174132116,0.0483373889468031,0.0380127689937825,"DDR2/PDGFRB/NR4A3/SERPINE1",4
"BP","GO:0014896","muscle hypertrophy","4/95","110/18860",0.0363636363636364,7.21913875598086,4.65449750234874,0.0023205174132116,0.0483373889468031,0.0380127689937825,"COL14A1/IL6ST/ATP2A2/NR4A3",4
"BP","GO:0071453","cellular response to oxygen levels","5/95","183/18860",0.0273224043715847,5.42421627840092,4.27912707170837,0.00233232274773477,0.0483373889468031,0.0380127689937825,"JUND/DDR2/TWIST1/EPAS1/NDRG1",5
"BP","GO:0035987","endodermal cell differentiation","3/95","53/18860",0.0566037735849057,11.2373386295929,5.3102148161518,0.00241700438120716,0.0492712286562475,0.0387471453001113,"LAMB1/MYH9/ITGB5",3
"BP","GO:1904707","positive regulation of vascular associated smooth muscle cell proliferation","3/95","53/18860",0.0566037735849057,11.2373386295929,5.3102148161518,0.00241700438120716,0.0492712286562475,0.0387471453001113,"GNAI2/DDR2/NR4A3",3
"CC","GO:0005925","focal adhesion","17/100","423/19944",0.0401891252955083,8.01531914893617,10.3525472571912,3.43077297528522e-11,6.99207045956748e-09,5.90366373190187e-09,"CD81/AHNAK/VIM/MME/DDR2/MYH9/HSP90B1/ITGB5/MAP4K4/MRC2/PDGFRB/DST/YWHAB/TLN1/TPM4/MARCKS/ACTG1",17
"CC","GO:0030055","cell-substrate junction","17/100","433/19944",0.0392609699769053,7.830207852194,10.2004360908925,4.94139255093108e-11,6.99207045956748e-09,5.90366373190187e-09,"CD81/AHNAK/VIM/MME/DDR2/MYH9/HSP90B1/ITGB5/MAP4K4/MRC2/PDGFRB/DST/YWHAB/TLN1/TPM4/MARCKS/ACTG1",17
"CC","GO:0005604","basement membrane","5/100","100/19944",0.05,9.972,6.38491751602025,0.000147986146259881,0.00961928641121692,0.00812191934292818,"PXDN/LAMB1/FBN1/DST/COL4A1",5
"CC","GO:0031012","extracellular matrix","10/100","496/19944",0.0201612903225806,4.02096774193548,4.83648771138397,0.00019350988626558,0.00961928641121692,0.00812191934292818,"PXDN/LAMB1/COL14A1/FBN1/LMAN1/LTBP2/WNT5A/DST/COL4A1/SERPINE1",10
"CC","GO:0030312","external encapsulating structure","10/100","497/19944",0.0201207243460765,4.01287726358149,4.82851920120183,0.000196670977505755,0.00961928641121692,0.00812191934292818,"PXDN/LAMB1/COL14A1/FBN1/LMAN1/LTBP2/WNT5A/DST/COL4A1/SERPINE1",10
"CC","GO:0005788","endoplasmic reticulum lumen","8/100","319/19944",0.0250783699059561,5.00163009404389,5.11455772680804,0.000203942468082337,0.00961928641121692,0.00812191934292818,"FAM20C/LAMB1/COL14A1/IGFBP4/FBN1/HSP90B1/WNT5A/COL4A1",8
"CC","GO:0005834","heterotrimeric G-protein complex","3/100","35/19944",0.0857142857142857,17.0948571428571,6.76514423900024,0.000712472583987708,0.0252037176585652,0.0212804311270013,"GNAS/GNAI2/GNB1",3
"CC","GO:0008180","COP9 signalosome","3/100","35/19944",0.0857142857142857,17.0948571428571,6.76514423900024,0.000712472583987708,0.0252037176585652,0.0212804311270013,"MYH9/BASP1/HSP90AB1",3
"CC","GO:1905360","GTPase complex","3/100","41/19944",0.0731707317073171,14.5931707317073,6.18491967932435,0.00113542989011966,0.0357029621004292,0.030145331585633,"GNAS/GNAI2/GNB1",3
"CC","GO:0032432","actin filament bundle","4/100","96/19944",0.0416666666666667,8.31,5.09653784289472,0.00138866275614644,0.0362265018016611,0.0305873755215811,"MYH9/DST/TPM4/MARCKS",4
"CC","GO:0030016","myofibril","6/100","243/19944",0.0246913580246914,4.92444444444444,4.36935993624014,0.00141227007832355,0.0362265018016611,0.0305873755215811,"AHNAK/LMAN1/DST/TPM4/SYNE1/ACTG1",6
"CC","GO:0098685","Schaffer collateral - CA1 synapse","4/100","100/19944",0.04,7.9776,4.965604152896,0.00161435941636673,0.0362265018016611,0.0305873755215811,"CDH11/WNT5A/PRSS12/ACTG1",4
"CC","GO:0043292","contractile muscle fiber","6/100","253/19944",0.0237154150197628,4.7298023715415,4.23831109145119,0.00173264637579839,0.0362265018016611,0.0305873755215811,"AHNAK/LMAN1/DST/TPM4/SYNE1/ACTG1",6
"CC","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","3/100","49/19944",0.0612244897959184,12.210612244898,5.57745448729426,0.00190633337535386,0.0362265018016611,0.0305873755215811,"GNAS/GNAI2/GNB1",3
"CC","GO:0019897","extrinsic component of plasma membrane","4/100","106/19944",0.0377358490566038,7.52603773584906,4.78227125214018,0.00199895908695047,0.0362265018016611,0.0305873755215811,"GNAS/GNAI2/GNB1/CDH11",4
"CC","GO:0042470","melanosome","4/100","112/19944",0.0357142857142857,7.12285714285714,4.61275636283397,0.00244274181408859,0.0362265018016611,0.0305873755215811,"HSP90AA1/HSP90B1/HSP90AB1/YWHAB",4
"CC","GO:0048770","pigment granule","4/100","112/19944",0.0357142857142857,7.12285714285714,4.61275636283397,0.00244274181408859,0.0362265018016611,0.0305873755215811,"HSP90AA1/HSP90B1/HSP90AB1/YWHAB",4
"CC","GO:0044292","dendrite terminus","2/100","15/19944",0.133333333333333,26.592,7.03862355354759,0.00250458860031595,0.0362265018016611,0.0305873755215811,"HSP90AA1/HSP90AB1",2
"CC","GO:0097524","sperm plasma membrane","2/100","15/19944",0.133333333333333,26.592,7.03862355354759,0.00250458860031595,0.0362265018016611,0.0305873755215811,"HSP90AA1/HSP90B1",2
"CC","GO:0001726","ruffle","5/100","189/19944",0.0264550264550265,5.27619047619048,4.19305020545177,0.00263870003752509,0.0362265018016611,0.0305873755215811,"GNAS/MYH9/MACF1/PSD3/TLN1",5
"CC","GO:0098803","respiratory chain complex","4/100","115/19944",0.0347826086956522,6.93704347826087,4.53262070810337,0.00268818564605966,0.0362265018016611,0.0305873755215811,"MT-ATP6/MT-ND1/MT-CYB/MT-ND5",4
"MF","GO:0019838","growth factor binding","9/96","136/18662",0.0661764705882353,12.8644301470588,9.98549061791404,3.36771770993801e-08,1.06756651405035e-05,8.54336808521116e-06,"IL1R1/PXDN/IGFBP4/IL6ST/FGFR1/LTBP2/PDGFRB/PDGFRA/COL4A1",9
"MF","GO:0005178","integrin binding","7/96","152/18662",0.0460526315789474,8.95243969298246,7.07885259252183,1.34600224291854e-05,0.00213341355502588,0.0017072975818072,"CD81/LAMB1/MYH9/FBN1/ITGB5/DST/TLN1",7
"MF","GO:0048407","platelet-derived growth factor binding","3/96","11/18662",0.272727272727273,53.0170454545454,12.4089450745266,2.1125130924793e-05,0.0022322221677198,0.00178637072030706,"PDGFRB/PDGFRA/COL4A1",3
"MF","GO:0005161","platelet-derived growth factor receptor binding","3/96","14/18662",0.214285714285714,41.65625,10.9425642611187,4.60836135899764e-05,0.00295435551953864,0.00236426923529408,"IL1R1/PDGFRB/PDGFRA",3
"MF","GO:0001221","transcription coregulator binding","6/96","127/18662",0.047244094488189,9.18405511811024,6.65453955381156,4.95784355469172e-05,0.00295435551953864,0.00236426923529408,"JUND/TWIST1/EPAS1/AHR/HDGF/NR4A3",6
"MF","GO:0045296","cadherin binding","9/96","334/18662",0.0269461077844311,5.23821107784431,5.62007585728515,5.59184010007314e-05,0.00295435551953864,0.00236426923529408,"AHNAK/MYH9/MACF1/HDLBP/CDH11/HSP90AB1/YWHAB/TLN1/NDRG1",9
"MF","GO:0004714","transmembrane receptor protein tyrosine kinase activity","4/96","61/18662",0.0655737704918033,12.7472677595628,6.60811418715919,0.000274131326347346,0.0114102592559499,0.00913123852128149,"DDR2/FGFR1/PDGFRB/PDGFRA",4
"MF","GO:0005201","extracellular matrix structural constituent","6/96","175/18662",0.0342857142857143,6.665,5.41414169757176,0.000287956069550786,0.0114102592559499,0.00913123852128149,"PXDN/LAMB1/COL14A1/FBN1/LTBP2/COL4A1",6
"MF","GO:0023026","MHC class II protein complex binding","3/96","27/18662",0.111111111111111,21.599537037037,7.70226653837744,0.000352778413608761,0.0124256396793308,0.00994381259411829,"CD81/HSP90AA1/HSP90AB1",3
"MF","GO:0003779","actin binding","9/96","445/18662",0.0202247191011236,3.93160112359551,4.50080664172227,0.00047668680824921,0.0139545222041301,0.0111673247590747,"MYH9/MACF1/HDGF/DST/TLN1/TPM4/SYNE1/MARCKS/HNRNPU",9
"MF","GO:0048019","receptor antagonist activity","3/96","30/18662",0.1,19.4395833333333,7.268183658159,0.000484226322540792,0.0139545222041301,0.0111673247590747,"PXDN/MTRNR2L1/MTRNR2L10",3
"MF","GO:0042826","histone deacetylase binding","5/96","134/18662",0.0373134328358209,7.25357587064677,5.22408760605579,0.000641697057339742,0.0166537777557798,0.0133274462531726,"HSP90AA1/TWIST1/JDP2/HSP90AB1/YWHAB",5
"MF","GO:0051015","actin filament binding","6/96","208/18662",0.0288461538461538,5.60757211538462,4.80510022401204,0.000718856579727184,0.0166537777557798,0.0133274462531726,"MYH9/MACF1/TLN1/TPM4/SYNE1/MARCKS",6
"MF","GO:0019199","transmembrane receptor protein kinase activity","4/96","79/18662",0.0506329113924051,9.84282700421941,5.66357506362937,0.000735498071233177,0.0166537777557798,0.0133274462531726,"DDR2/FGFR1/PDGFRB/PDGFRA",4
"MF","GO:0023023","MHC protein complex binding","3/96","37/18662",0.0810810810810811,15.7618243243243,6.46303717322591,0.000902880221100804,0.019080868672597,0.0152697637393189,"CD81/HSP90AA1/HSP90AB1",3
"MF","GO:0140662","ATP-dependent protein folding chaperone","3/96","40/18662",0.075,14.5796875,6.18230618799228,0.0011353317989343,0.0202036084414967,0.0161682538084034,"HSP90AA1/HSP90B1/HSP90AB1",3
"MF","GO:0005522","profilin binding","2/96","10/18662",0.2,38.8791666666667,8.61552233340789,0.0011472080503058,0.0202036084414967,0.0161682538084034,"RHOQ/ACTG1",2
"MF","GO:0030235","nitric-oxide synthase regulator activity","2/96","10/18662",0.2,38.8791666666667,8.61552233340789,0.0011472080503058,0.0202036084414967,0.0161682538084034,"HSP90AA1/HSP90AB1",2
"MF","GO:0035497","cAMP response element binding","2/96","12/18662",0.166666666666667,32.3993055555556,7.82375330339523,0.00167132609387599,0.0264905185879345,0.0211994520328481,"JDP2/NR4A3",2
"MF","GO:0097493","structural molecule activity conferring elasticity","2/96","12/18662",0.166666666666667,32.3993055555556,7.82375330339523,0.00167132609387599,0.0264905185879345,0.0211994520328481,"AHNAK/FBN1",2
"MF","GO:0030547","signaling receptor inhibitor activity","3/96","47/18662",0.0638297872340425,12.4082446808511,5.63093009479536,0.00181549158459563,0.0274052777293721,0.021931502350253,"PXDN/MTRNR2L1/MTRNR2L10",3
"MF","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","8/96","442/18662",0.0180995475113122,3.5184766214178,3.85317533833176,0.00200077657866738,0.0288293716107981,0.0230711557635808,"JUND/FOSB/EGR1/TWIST1/EPAS1/NR4A3/NFIC/TEAD1",8
"MF","GO:0001216","DNA-binding transcription activator activity","8/96","450/18662",0.0177777777777778,3.45592592592593,3.79215953529567,0.00223622831967991,0.0291298845081047,0.0233116459121807,"JUND/FOSB/EGR1/TWIST1/EPAS1/NR4A3/NFIC/TEAD1",8
"MF","GO:0044548","S100 protein binding","2/96","14/18662",0.142857142857143,27.7708333333333,7.20532671049836,0.00228901419660115,0.0291298845081047,0.0233116459121807,"AHNAK/ATP2A2",2
"MF","GO:0001223","transcription coactivator binding","3/96","51/18662",0.0588235294117647,11.4350490196078,5.36585122241556,0.00229730950379375,0.0291298845081047,0.0233116459121807,"EPAS1/AHR/NR4A3",3
"MF","GO:0070742","C2H2 zinc finger domain binding","2/96","15/18662",0.133333333333333,25.9194444444444,6.94262007761648,0.00263234104573481,0.0320943119806898,0.0256839753855097,"SRRM2/MBD2",2
"MF","GO:0022853","active monoatomic ion transmembrane transporter activity","4/96","118/18662",0.0338983050847458,6.58968926553672,4.37996721861218,0.00322586358079296,0.0378740279670877,0.0303092835466317,"MT-ND1/MT-CYB/MT-ND5/ATP2A2",4
"MF","GO:0051082","unfolded protein binding","4/96","123/18662",0.032520325203252,6.32181571815718,4.25807331976617,0.00374284191222412,0.0423743173633945,0.0339107105581208,"HSP90AA1/HSP90B1/LMAN1/HSP90AB1",4
"MF","GO:0016004","phospholipase activator activity","2/96","19/18662",0.105263157894737,20.4627192982456,6.10332251315295,0.00422997366064353,0.0462379879456551,0.0370026734016367,"PDGFRB/PDGFRA",2
